Month,FY 2018 New Grant Awards,FY 2018 Grant Awards Value,FY 2018 New Contract Awards,FY 2018 Contract Awards Value
October,82,15543981,237,22958100
November,125,20057753,391,58199554
December,72,14512833,374,55452440
January,131,20296859,481,35309048
February,116,17370632,463,47984417
March,104,11091063,511,70593096
April,116,13182407,513,115281292
May,123,15321667,535,90415602
June,162,23996739,547,91193395
July,89,15701398,1100,374036477
August,247,39376910,957,201778328
September,273,51374666,861,256488515
Total,1640,257826908,6970,1419690264
