Month,FY 2016 New Grant Awards,FY 2016 Grant Awards Value,FY 2016 New Contract Awards,FY 2016 Contract Awards Value
October,12,5935517,262,25594065
November,69,6511069,311,62500551
December,72,12642832,406,93564061
January,85,19049815,401,34021102
February,151,16886756,516,58966724
March,146,17280547,669,67346463
April,163,17899729,705,139258557
May,144,16521393,771,109578513
June,169,23957560,1135,147428959
July,114,14429466,821,120792726
August,231,35722243,1091,76842270
September,204,36940880,1358,218020332
Total,1560,223777807,8446,1153914323
