Month,FY 2021 New Grant Awards,FY 2021 Grant Awards Value,FY 2021 New Contract Awards,FY 2021 Contract Awards Value
October,59,6269280,240,48465880
November,105,11443057,236,33424790
December,112,13673168,316,100299120
January,119,17389470,290,63634077
February,157,28363148,332,57084028
March,134,30907111,398,91140621
April,130,24579575,386,105698292
May,73,19158743,679,128718329
June,128,21788997,498,135629614
July,226,34006902,555,217080915
August,357,50222118,702,170444170
September,591,108138829,923,470799388
Total,2191,365940398,5555,1622419224
