Month,FY 2008 New Grant Awards,FY 2008 Grant Awards Value,FY 2008 New Contract Awards,FY 2008 Contract Awards Value
October,12,3560649,262,24537929
November,99,15680270,435,46378386
December,198,27579834,570,151152548
January,114,15508748,743,66103778
February,142,22074156,614,69990427
March,225,28425888,612,100885034
April,227,26288951,671,109895962
May,166,23764734,756,135412273
June,184,38274964,900,96717126
July,430,71143323,1038,96025514
August,522,63485988,1294,122478410
September,138,21591540,1616,197466523
Total,2457,357379045,9511,1217043910
