State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNG05GA31G Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",10/18/2004,09/30/2005,"Educational Institution,, Grant For Research",Educational - ,"$9,076","$9,076",[None Indicated],N/A,N/A,PERMAFROST WORKSHOP SUPPORT
AK,AK-00,UNIV ALASKA FAIRBANKS,GSFC0199804DNAS598129 Modification 37,GSFC - Goddard Space Flight Center,"FAIRBANKS, AK (District 00)",11/10/2004,11/17/2003,"Educational Institution,Historically Black College Or University,, Cost No Fee",Historically Black Colleges and Universities - ,"$29,130",$0,[None Indicated],N/A,N/A,
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNGO4HZ03C Modification 13,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",11/19/2004,03/30/2008,"Educational Institution,, Cost No Fee",Educational - RFP5-53541-GGB,"$1,198,000",$0,541710,N/A,N/A,"OPERATE AND MAINTAIN THE ALSKA SATELLITE FACILITY DATA AND APPL., CTR FOR THE EOSD & ISP"
AK,AK-00,UNIV ALASKA FAIRBANKS,NNG04GP20G Modification 1,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",11/22/2004,01/31/2006,"Educational Institution,, Grant For Research",Educational - ,$0,$0,[None Indicated],N/A,N/A,USING IMPACT CRATERS TO STUDY THE RESURFACING HISTORY OF VENUS.
AK,AK-00,ALASKA STATE,NNS04AB22G Modification 2,SSC - Stennis Space Center,"FORT RICHARDSON, AK (District 00)",11/23/2004,06/27/2005,"State Government,, Grant For Research",Government - ,$0,$0,[None Indicated],N/A,N/A,PROVIDE A TECHNICAL SOLUTION TO CAUSE/EFFECT INDICATORS FOR AIRCRAFT ACCIDENTS
AK,AK-00,UNIV ALASKA FAIRBANKS,NAG513408 Modification 3,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",12/03/2004,04/30/2006,"Educational Institution,, Grant For Research",Educational - ,"$322,520",$0,[None Indicated],N/A,N/A,"INTELLIGENT DATA SET IDENTIFICATION ASSIMILATION, COLLECTION, AND       TRANSFORMATION SYSTEM"
AK,AK-00,UNIV ALASKA FAIRBANKS,GSFC0200103DNAS501074 Modification 23,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",12/07/2004,03/11/2006,"Educational Institution,Historically Black College Or University,, Cost No Fee",Historically Black Colleges and Universities - ,"$345,000",$0,561210,N/A,N/A,MAINTENANCE/MISSION SUPPORT AT POKER FLATS
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNGO4HZ03C Modification 15,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",12/21/2004,03/30/2008,"Educational Institution,, Cost No Fee",Educational - RFP5-53541-GGB,"$418,534",$0,541710,N/A,N/A,"OPERATE AND MAINTAIN THE ALSKA SATELLITE FACILITY DATA AND APPL., CTR FOR THE EOSD & ISP"
AK,AK-00,UNIV ALASKA FAIRBANKS,NGT540100 Modification 12,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",12/30/2004,05/31/2005,"Educational Institution,, Grant For Research",Educational - ,"$889,664","$87,501",[None Indicated],N/A,N/A,ALASKA SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNGO4HZ03C Modification 16,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",01/26/2005,03/30/2008,"Educational Institution,, Cost No Fee",Educational - RFP5-53541-GGB,$0,"$-1,498,195",541710,N/A,N/A,"OPERATE AND MAINTAIN THE ALSKA SATELLITE FACILITY DATA AND APPL., CTR FOR THE EOSD & ISP"
AK,AK-00,UNIV ALASKA FAIRBANKS,GSFC0200103DNAS501074 Modification 24,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",01/26/2005,03/11/2006,"Educational Institution,Historically Black College Or University,, Cost No Fee",Historically Black Colleges and Universities - ,"$170,000",$0,561210,N/A,N/A,MAINTENANCE/MISSION SUPPORT AT POKER FLATS
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNGO4HZ03C Modification 17,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",02/07/2005,03/30/2008,"Educational Institution,, Cost No Fee",Educational - RFP5-53541-GGB,"$100,000","$100,000",541710,N/A,N/A,"OPERATE AND MAINTAIN THE ALSKA SATELLITE FACILITY DATA AND APPL., CTR FOR THE EOSD & ISP"
