Month,FY 2011 New Grant Awards,FY 2011 Grant Awards Value,FY 2011 New Contract Awards,FY 2011 Contract Awards Value
October,5,437022,264,16459318
November,37,3414468,417,39924945
December,54,6036387,460,50234456
January,95,8885986,550,33615248
February,88,9979216,1107,49899251
March,108,15879325,699,51014581
April,116,16485559,571,32121404
May,114,20940423,629,81492075
June,169,21544756,1061,106298446
July,191,26862011,891,54501520
August,256,42453126,1408,102860794
September,172,26375639,1800,249780743
Total,1405,199293918,9857,868202781
