State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
OH,OH-15,HONEYWELL INTERNATIONAL INCORPORATED,NNC06VF89P Modification 0 (Base Record),GRC - Glenn Research Center,"Columbus, OH (District 15)",06/01/2006,08/03/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$4,345","$4,345",[None Indicated],N/A,N/A,Torque sensor
OH,OH-07,INNOVATIVE SCIENTIFIC SOLUTIONS INCORPORATED,NNC06VG16P Modification 0 (Base Record),GRC - Glenn Research Center,"Beavercreek, OH (District 07)",06/01/2006,07/31/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$7,550","$7,550",[None Indicated],N/A,N/A,Modification/upgrade
OH,OH-10,PRAXAIR INCORPORATED (3764) 15300,NNC06VF48P Modification 0 (Base Record),GRC - Glenn Research Center,"Cleveland, OH (District 10)",06/01/2006,06/16/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$8,560","$8,560",[None Indicated],N/A,N/A,Taylor XL65 Liq N2 Dewar TAY GL65-OC14-M
OH,OH-09,UNIVERSITY OF TOLEDO THE,NNG06GC70G Modification 1,GSFC - Goddard Space Flight Center,"Toledo, OH (District 09)",06/01/2006,01/31/2009,"Educational Institution,Nonprofit Organization,State Government,, Grant For Research",Educational - ,"$45,000",$0,[None Indicated],N/A,N/A,OSCILLATOR STRENGTHS FOR ULTRAVIOLET ATOMIC AND MOLECULAR TRANSITIONS.
OH,OH-10,"ALPHAPORT, INC.",NNC06TA28T Modification 1,GRC - Glenn Research Center,"CLEVELAND, OH (District 10)",06/01/2006,01/30/2007,"Corporate Entity Not Tax Exempt,For Profit Organization,Subchapter S Corporation,Women Owned,Women Owned Small Business,, Firm Fixed Price","Woman Owned Small Business,Small Business - ","$55,000",$0,541330,N/A,N/A,SENSOR DATAT QUALIFICATION FOR EXPLORATION SYSTEMS
OH,OH-15,OHIO STATE UNIV RESEARCH FND,NNG04GK92G Modification 3,GSFC - Goddard Space Flight Center,"Columbus, OH (District 15)",06/01/2006,05/31/2007,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,"$82,729","$82,729",[None Indicated],N/A,N/A,THE RMAX PROJECT: THEORETICAL ATOMIC ASTROPHYSICS & SPECTRAL MODELS FOR X-RAY ASTRONOMY
OH,OH-15,OHIO STATE UNIVERSITY RESEARCH FOUNDATION,NNG05GG20G Modification 1,GSFC - Goddard Space Flight Center,"Columbus, OH (District 15)",06/01/2006,03/31/2008,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,"$148,047","$148,047",[None Indicated],N/A,N/A,HORIZONTAL BRANCH STARS
OH,OH-14,SOUTHERN ELECTRIC SUPPLY COMPANY INCORPORATED,NNC06VF90P Modification 0 (Base Record),GRC - Glenn Research Center,"Solon, OH (District 14)",06/02/2006,06/30/2006,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,"$4,475","$4,475",[None Indicated],N/A,N/A,NEMA 4X ELECTRICAL ENCLOSURE
OH,OH-11,CLEVELAND STATE UNIVERSITY,NNC06VG34P Modification 0 (Base Record),GRC - Glenn Research Center,"Cleveland, OH (District 11)",06/02/2006,09/30/2006,"Educational Institution,State Government,, Firm Fixed Price",Educational - ,"$7,728","$7,728",[None Indicated],N/A,N/A,CONDUCTIVE COATINGS FOR EVA VISORS
OH,OH-14,THE STANLEY M PROCTOR COMPANY,NNC06VG18P Modification 0 (Base Record),GRC - Glenn Research Center,"Twinsburg, OH (District 14)",06/02/2006,07/05/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$8,275","$8,275",[None Indicated],N/A,N/A,"TESCOM ER3000E1-7 CONTROLLER, TESCOM 26-2015T24A270 REGULATOR"
OH,OH-15,THE COLUMBUS JACK CORPORATION,NNC06VF05P Modification 0 (Base Record),GRC - Glenn Research Center,"Columbus, OH (District 15)",06/02/2006,07/07/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$9,832","$9,832",[None Indicated],N/A,N/A,REPAIR/OVERHAUL JACKS
OH,OH-17,YXLON INTERNATIONAL INCORPORATED (DEL),NNM06AC38P Modification 0 (Base Record),MSFC - Marshall Space Flight Center,"MOGADORE, OH (District 17)",06/02/2006,06/30/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$13,335","$13,335",[None Indicated],N/A,N/A,4200152789 XRAY TUBE
OH,OH-10,PANASONIC CORPORATION OF NORTH,NNC06DC84D Modification 0 (Base Record),GRC - Glenn Research Center,"Strongsville, OH (District 10)",06/02/2006,07/15/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$23,915","$23,915",[None Indicated],N/A,N/A,"CAMERA DEVICE, DVR HARD DRIVE, SYSTEM CONTROLLER, MATRIX SWITCHER, MULTIPLEXER BOARD, WALL TRANSORMER, TIME CODE CONVERTER, TIME CODE DISTRIBUTION AMP, SMPTE READER, COMBINATION DECK, CUSTOMER RACK MOUNT KIT."
OH,OH-07,TAITECH INC,NNC04TA61T Modification 4,GRC - Glenn Research Center,"DAYTON, OH (District 07)",06/03/2006,03/31/2007,"Asian Pacific American Owned Business,Minority Owned,SBA Certified Small Disadvantaged Business,Self Certified Small Disadvantaged Business,Small Disadvantaged Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ","$45,690","$45,690",541330,N/A,N/A,AERONAUTICAL RESEARCH AND DEVELOPMENT TASK ORDER CONTRACT
OH,OH-06,SUNPOWER INC,NNC05TA60T Modification 2,GRC - Glenn Research Center,"Athens, OH (District 06)",06/05/2006,08/31/2006,"[No Vendor Indicators Found], Firm Fixed Price",Small Business ONLY - ,$0,$0,541710,N/A,N/A,SBIR PHASE III - TASK ORDER UNDER OUTLINE AGREEMENT NNC05BA20B
OH,OH-11,ROCKWELL AUTOMATION INCORPORATED,NNK06MA89P Modification 1,KSC - Kennedy Space Flight Center,"Cleveland, OH (District 11)",06/05/2006,06/09/2006,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,$0,$0,423610,N/A,N/A,INDUSTRIAL AUTOMATION EQUIPMENT
OH,OH-14,AP SOLUTIONS INCORPORATED,NNC05TA66T Modification 1,GRC - Glenn Research Center,"SOLON, OH (District 14)",06/05/2006,06/05/2006,"Black American Owned Business,Minority Owned,SBA Certified 8A Program Participant,SBA Certified Small Disadvantaged Business,Self Certified Small Disadvantaged Business,Small Disadvantaged Business,Very Small Business,Veteran Owned,, Cost Plus Fixed Fee","Veteran Owned Small Business,Small Disadvantaged Business,8(A) Program,Small Business - ","$3,606","$3,606",541710,N/A,N/A,TASK ORDER 3 TP NNC04BA09B
OH,OH-14,OHIO COMPUTER AIDED INCORPORATED,NNC06US32P Modification 0 (Base Record),GRC - Glenn Research Center,"Hudson, OH (District 14)",06/05/2006,06/23/2006,"Small Business,Veteran Owned,, Firm Fixed Price","Veteran Owned Small Business,Small Business - ","$9,600","$9,600",611430,N/A,N/A,TRAINING
OH,OH-14,SOUTHERN ELECTRIC SUPPLY COMPANY INCORPORATED,NNC06VF51P Modification 0 (Base Record),GRC - Glenn Research Center,"Solon, OH (District 14)",06/05/2006,06/30/2006,"[No Vendor Indicators Found], Firm Fixed Price",Small Business ONLY - ,"$10,804","$10,804",[None Indicated],N/A,N/A,"LOGIC STARTER KIT, HYDRAULIC SERVO MODULE"
OH,OH-10,MCGAW TECHNOLOGY INCORPORATED,NNC06QA59P Modification 0 (Base Record),GRC - Glenn Research Center,"Cleveland, OH (District 10)",06/05/2006,07/05/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$15,225","$15,225",[None Indicated],N/A,N/A,TEST XPRESS V 4.0 PROFFESSIONAL MATERIALS TESTING SYSTEM
OH,OH-09,UNIV TOLEDO,NNC04AA53A Modification 9,GRC - Glenn Research Center,"TOLEDO, OH (District 09)",06/05/2006,12/31/2008,"Educational Institution,Nonprofit Organization,State Government,, Cooperative Agreement",Educational - ,"$33,073",$0,[None Indicated],N/A,N/A,COMPUTED TOMOGRAPHY & DIGITAL RADIOGRAPHY BASED RESEARCH FOR AEROSPACE MATERIALS
OH,OH-07,TAITECH INC,NNC04TA60T Modification 4,GRC - Glenn Research Center,"Beavercreek, OH (District 07)",06/05/2006,10/04/2006,"Asian Pacific American Owned Business,Minority Owned,Small Disadvantaged Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ","$75,000","$75,000",541330,N/A,N/A,SUPPORT FOR HYBRID AOU MODELING AND OPTIMIZATION
OH,OH-11,CASE WESTERN RESERVE UNIV,NNC05AA14A Modification 9,GRC - Glenn Research Center,"CLEVELAND, OH (District 11)",06/05/2006,12/31/2008,"Educational Institution,, Cooperative Agreement",Educational - ,"$188,241",$0,[None Indicated],N/A,N/A,ACTUATOR CERAMICS FOR HIGH TEMPERATURES
OH,OH-06,SUNPOWER INC,LERC0200308DNAS303128 Modification 11,GRC - Glenn Research Center,"ATHENS, OH (District 06)",06/05/2006,11/30/2007,"Small Business,, Cost Plus Fixed Fee",Small Business ONLY - ,"$2,322,000","$3,270,136",541710,N/A,N/A,PROPULSION & POWER
OH,OH-06,OHIO UNIV,NAG101094 Modification 5,LaRC - Langley Research Center,"ATHENS, OH (District 06)",06/06/2006,06/06/2006,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,"$-2,303","$-2,303",[None Indicated],N/A,N/A,HAPTICS-AUGMENTED EDUCATION
OH,OH-02,TECHNOSOFT INCORPORATED,NNL06AB89D Modification 0 (Base Record),LaRC - Langley Research Center,"Cincinnati, OH (District 02)",06/06/2006,08/18/2006,"[No Vendor Indicators Found], Firm Fixed Price",Small Business ONLY - ,"$49,998","$49,998",541511,N/A,N/A,SERVICES TO SUPPORT THE CEV STRUCTURAL ANALYSIS AND OPTIMIZATION COMPOSITE CREW MODEL PRESSURE VESSEL
OH,OH-13,THE UNIVERSITY OF AKRON,NNC06AA15A Modification 0 (Base Record),GRC - Glenn Research Center,"Akron, OH (District 13)",06/06/2006,09/30/2007,"Educational Institution,, Cooperative Agreement",Educational - ,"$52,435","$52,435",[None Indicated],N/A,N/A,"polymer and composite ballistic impact testing, character and modeling"
OH,OH-15,COLLABORATIVE DESIGN LIMITED,NNC06CB80C Modification 0 (Base Record),GRC - Glenn Research Center,"DUBLIN, OH (District 15)",06/06/2006,11/28/2006,"Asian Pacific American Owned Business,Minority Owned,SBA Certified 8A Program Participant,SBA Certified Small Disadvantaged Business,Self Certified Small Disadvantaged Business,Small Business,Small Disadvantaged Business,Very Small Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ","$101,366","$101,366",541330,N/A,N/A,DEMO FINAL DESIGN PSL 1 & 2 COMPLEX
OH,OH-11,RALPH TYLER SERVICES LTD,NNC06CB63C Modification 1,GRC - Glenn Research Center,"CLEVELAND, OH (District 11)",06/06/2006,02/07/2007,"Black American Owned Business,Minority Owned,Small Business,Very Small Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ","$106,115","$106,115",541330,N/A,N/A,A & E SERVICES
OH,OH-10,WARREN ROOFING & INSULATING CO,NNC05CA97C Modification 7,GRC - Glenn Research Center,"BEDFORD, OH (District 10)",06/06/2006,08/31/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$111,131","$111,131",238160,N/A,N/A,PHASE II REPAIR ROOFS
OH,OH-14,GENVAC AEROSPACE CORP,NNG04CA22C Modification 7,GSFC - Goddard Space Flight Center,"Cleveland, OH (District 14)",06/07/2006,11/30/2006,"Small Business,, Firm Fixed Price","Small Business Innovative Research,Small Business - REF#SBIR 2002",$0,$0,333314,N/A,N/A,DIAMOND-BASED SUB MILIMETER BACKWARD WAVE.
OH,OH-11,KBJ INCORPORATED,NNC06JA09T Modification 1,GRC - Glenn Research Center,"Cleveland, OH (District 11)",06/07/2006,06/30/2006,"Black American Owned Business,Minority Owned,SBA Certified 8A Program Participant,, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Small Business - ","$5,300","$5,300",236220,N/A,N/A,"JA09/$RPM 25581$/91,547.00"
OH,OH-16,QBS INCORPORATED,NNC06JD07T Modification 1,GRC - Glenn Research Center,"Alliance, OH (District 16)",06/07/2006,02/10/2007,"Black American Owned Business,Minority Owned,SBA Certified 8A Program Participant,SBA Certified HUBZone,, Firm Fixed Price","SBA Certified HUBZone,Small Disadvantaged Business,8(A) Program,Small Business - ","$7,233","$7,233",236220,N/A,N/A,"Task JD07/$220,342.00"
OH,OH-16,QBS INCORPORATED,NNC06JD05T Modification 1,GRC - Glenn Research Center,"Alliance, OH (District 16)",06/07/2006,02/10/2007,"Black American Owned Business,Minority Owned,SBA Certified 8A Program Participant,SBA Certified HUBZone,, Firm Fixed Price","SBA Certified HUBZone,Small Disadvantaged Business,8(A) Program,Small Business - ","$30,372","$30,372",236220,N/A,N/A,"Task JD05/$443,019.00"
OH,OH-11,CLEVELAND STATE UNIVERSITY,NNC06GA15G Modification 0 (Base Record),GRC - Glenn Research Center,"CLEVELAND, OH (District 11)",06/07/2006,12/31/2007,"Educational Institution,State Government,, Grant For Research",Educational - ,"$62,303","$62,303",[None Indicated],N/A,N/A,ADVANCED NONDESTRUCTIVE EVALUATION BASED RESEARCH FOR AEROSPACE MATERIALS AND APPLICATIONS
OH,OH-11,CLEVELAND STATE UNIVERSITY,NNC06GA14G Modification 0 (Base Record),GRC - Glenn Research Center,"CLEVELAND, OH (District 11)",06/07/2006,12/31/2007,"Educational Institution,State Government,, Grant For Research",Educational - ,"$65,965","$159,789",[None Indicated],N/A,N/A,STRUCTURAL MODELING OF ENGINE COMPONENTS AND MATERIAL PROCESSES
OH,OH-11,KBJ INCORPORATED,NNC06JA13T Modification 0 (Base Record),GRC - Glenn Research Center,"Cleveland, OH (District 11)",06/07/2006,10/31/2006,"Black American Owned Business,Minority Owned,SBA Certified 8A Program Participant,, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Small Business - ","$131,749","$131,749",236220,N/A,N/A,Task JA13/B87 roof replacement - TASK ORDER UNDER OUTLINE AGREEMENT NNC05BA14B
OH,OH-11,CLEVELAND STATE UNIVERSITY,NNC06GA16G Modification 0 (Base Record),GRC - Glenn Research Center,"Cleveland, OH (District 11)",06/07/2006,12/31/2007,"Educational Institution,State Government,, Grant For Research",Educational - ,"$160,724","$160,724",[None Indicated],N/A,N/A,advanced nondestructive inspection technologies for aerospace materials and structures
OH,OH-09,LORAIN COUNTY JOINT VOC SCH,NCC5554 Modification 9,GSFC - Goddard Space Flight Center,"Oberlin, OH (District 09)",06/07/2006,04/30/2007,"Educational Institution,Local Government,, Cooperative Agreement",Educational - ,"$238,200","$238,200",[None Indicated],N/A,N/A,CENTRAL OPERATIONS OF RESOURCES FOR EDUCATORS
OH,OH-14,THE STANLEY M PROCTOR COMPANY,NNC06VF94P Modification 0 (Base Record),GRC - Glenn Research Center,"Twinsburg, OH (District 14)",06/08/2006,07/13/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$2,675","$2,675",[None Indicated],N/A,N/A,TESCOM 625-3000-2128 LEAD CELL
