Month,FY 2017 New Grant Awards,FY 2017 Grant Awards Value,FY 2017 New Contract Awards,FY 2017 Contract Awards Value
October,9,1533926,166,43165646
November,52,5476318,277,47006802
December,126,15403028,397,59892926
January,107,12529228,451,42692275
February,184,24904594,474,29952449
March,160,45604708,691,127337277
April,128,15764635,686,112571279
May,135,18394729,777,82998902
June,119,24238270,974,210029051
July,78,12008976,692,45025814
August,191,26263865,1093,63954850
September,327,68904386,1343,245738093
Total,1616,271026663,8021,1110365364
