Month,FY 2023 New Grant Awards,FY 2023 Grant Awards Value,FY 2023 New Contract Awards,FY 2023 Contract Awards Value
October,68,8427033,168,29977392
November,67,10052000,248,66339463
December,104,19681993,280,106627059
January,129,17615814,263,34997294
February,111,15253613,302,56201286
March,174,27297477,482,201002796
April,107,23470138,390,97523614
May,150,46961164,477,468598944
June,155,42769057,557,194904512
July,154,15566508,739,129716113
August,208,31388649,781,158315711
September,342,76236919,745,377141490
Total,1769,334720365,5432,1921345674
