Month,FY 2020 New Grant Awards,FY 2020 Grant Awards Value,FY 2020 New Contract Awards,FY 2020 Contract Awards Value
October,76,11056647,258,39199559
November,83,15979300,293,88002612
December,104,17389938,294,91302866
January,179,27233278,329,53793386
February,162,26064792,342,41264829
March,183,33586849,388,76618083
April,181,34291659,379,98300153
May,129,22928521,396,470361672
June,155,23881125,563,212332920
July,177,29711625,588,157974425
August,203,39705837,932,150028326
September,390,74011402,894,222390454
Total,2022,355840973,5656,1701569285
