Month,FY 2005 New Grant Awards,FY 2005 Grant Awards Value,FY 2005 New Contract Awards,FY 2005 Contract Awards Value
October,113,19552373,483,51240735
November,97,20506286,602,30561549
December,109,22343814,703,68337716
January,126,22219574,919,54508608
February,208,30339376,701,62788103
March,246,46041173,948,76255392
April,231,31808635,903,92244672
May,247,37844592,929,72820981
June,212,20915820,975,156726730
July,202,19632647,981,53116272
August,254,50528665,1433,59748839
September,373,58598707,1748,145543689
Total,2418,380331662,11325,923893286
