Month,FY 2013 New Grant Awards,FY 2013 Grant Awards Value,FY 2013 New Contract Awards,FY 2013 Contract Awards Value
October,32,4534573,280,16827539
November,83,10766487,380,50090835
December,68,9116943,456,121387628
January,139,33517051,558,43239504
February,175,25415563,610,51719814
March,210,23606304,646,81122891
April,94,10832645,731,39331037
May,105,11313710,924,104343607
June,83,8570125,684,127668210
July,109,16280483,946,142217732
August,196,28192959,1296,167595188
September,203,33472945,1525,242961786
Total,1497,215619788,9036,1188505771
