State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
MD,MD-07,JOHNS HOPKINS UNIVERSITY,NNG05GE08G Modification 1,GSFC - Goddard Space Flight Center,"Baltimore, MD (District 07)",02/06/2006,02/14/2007,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,SUNGG-THE SURVEY OF ULTRAVIOLET EMISSION IN NEUTRAL GAS GALAXIES
MD,MD-05,UNIV MARYLAND COLLEGE PARK,NAG512732 Modification 3,GSFC - Goddard Space Flight Center,"College Park, MD (District 05)",02/06/2006,01/31/2007,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,THE EARLY DEVELOPMENT OF EIT WAVES: RADIO OBSERVA- TIONS OF ONSET
MD,MD-05,SCIENCE SYSTEMS APPLICATIONS,NAG513126 Modification 3,GSFC - Goddard Space Flight Center,"Lanham, MD (District 05)",02/06/2006,03/31/2007,"Minority Owned,Small Business,Sub Continent Asian American Owned Business,Women Owned,, Grant For Research",Small Business - ,0,0,[None Indicated],N/A,N/A,EVOLUTION OF PMC PROJECT PROPERTIES OBSERVED WITH SBUV TYPE INSTRUMENTS
MD,MD-05,UNIVERSITY OF MARYLAND (2033) 1170755,NAG513240 Modification 3,GSFC - Goddard Space Flight Center,"College Park, MD (District 05)",02/06/2006,09/30/2006,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,INFRARED SPECTROSCOPIC STUDIES OF ORGANIC ICES: DATABASE FOR THE ANALYSES OF TITAN IR SPECTRA.
MD,MD-07,UNIV MARYLAND BALTIMORE COUNTY,NAG513260 Modification 3,GSFC - Goddard Space Flight Center,"Baltimore, MD (District 07)",02/06/2006,04/30/2007,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,USE OF NASA LAND DATA ASSIMILATED PRODUCTS TO IMPR OVE FLOOD AND DROUGHT RISK ANALYSIS & FORECAS
MD,MD-07,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY INCORPORATED,NNG05GF13G Modification 1,GSFC - Goddard Space Flight Center,"Baltimore, MD (District 07)",02/06/2006,03/14/2007,"Nonprofit Organization,, Grant For Research",Non-Profit Institutions - ,0,0,[None Indicated],N/A,N/A,IS THE PRESENT EPOCH D/H BELOW 1X10E-5?
MD,MD-05,LOCKHEED MARTIN CORPORATION,NNA06CC76D Modification 0 (Base Record),ARC - Ames Research Center,"Lanham, MD (District 05)",02/06/2006,03/20/2006,"For Profit Organization,Manufacturer Of Goods,, Firm Fixed Price",Other Than Small Business - ,89,89,541512,N/A,N/A,TN-128 4200144860/JT-6053
MD,MD-05,METROPOLITAN FENCE,NNG04AA43Z Modification 4,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",02/06/2006,12/31/2005,"[No Vendor Indicators Found], Firm Fixed Price",Small Business ONLY - ,2457,2457,238990,N/A,N/A,BPA REPAIR FENCE AT GSFC.
MD,MD-05,CINDY ZOOK ASSOCIATES,NNG06LC23P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",02/06/2006,02/13/2006,"Small Business,Women Owned,, Firm Fixed Price","Woman Owned Small Business,Small Business - ",8400,8400,[None Indicated],N/A,N/A,"CONDUCT A SERIES OF PLANNING MEETING WITH SENIOR MANAGERS. DESIGN AND DELIVER 2 ONE-DAY WORKSHOPS TO BE HELD ON FEBRUARY 9, 2006 AND FEBRUARY 13, 2006 IN ACCORDANCE WITH THE ATTACHED STATEMENT OF WORK AND COST. TO BE HELD AT GSFC."
MD,MD-08,FCN INC,NNG06HR52D Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Rockville, MD (District 08)",02/06/2006,03/10/2006,"Small Business,Women Owned,, Firm Fixed Price","Woman Owned Small Business,Small Business - ",8505,8505,421430,N/A,N/A,"1. PowerBook 15"" 1.67GHz SuperDrive 2. Three Year Applecare Protection Plan for Powerbook #M8853LL/A 3. 8 Ft. Retractable CAT5 Cable #F8V072V 4. 800DPI USB OPTICAL MINI MOUSE W/RETRACTABLE CABLE #GME222A 5. TekRam/Arica ARC 1160 16 Channel RAID #CTL-TEK 1003 6. SEWP FEE 7. Office MAC 2004 English CD STD 731-00994 8. Acrobat Standard 7.0 Mac Acrobat #12001694 9. AD Adaptar for Powerbook G4 Dual USB 10. Incase Neoprene Sleeve for 15"" PowerBook and 14-inch iBook (Black) Part # TD396LL/A 11. Rechargeable Battery #M9756G/A"
MD,MD-05,UNIVERSITY OF MARYLAND,NNS06AA08A Modification 0 (Base Record),SSC - Stennis Space Center,"College Park, MD (District 05)",02/06/2006,10/30/2008,"Educational Institution,Nonprofit Organization,, Cooperative Agreement",Educational - ,9181,28651,[None Indicated],N/A,N/A,Using NASA's Invasive Species Forecasting System to Support National Park Service Decisions on Fire Management Activities and Invasiv Plant Species Control
MD,MD-07,JOHNS HOPKINS UNIVERSITY,NNG06GC91G Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Baltimore, MD (District 07)",02/06/2006,01/31/2010,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,62232,62232,[None Indicated],N/A,N/A,A MULTIWAVELENGTH APPROACH TO AN IS DUST MODEL.
MD,MD-05,EMERGENT SPACE TECHNOLOGIES INCORPORATED,NNG06LA38C Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",02/06/2006,07/24/2006,"Small Business,Small Disadvantaged Business,Very Small Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business Innovative Research,Small Business - ",69574,69574,541710,N/A,N/A,sbir phase 1 award for effort entitled: system engineering process realization toolkit
MD,MD-05,COMPUTER SCIENCE CORP,NNG05CA02C Modification 6,GSFC - Goddard Space Flight Center,"LANHAM, MD (District 05)",02/06/2006,12/14/2007,"[No Vendor Indicators Found], Cost Plus Fixed Fee",Other Than Small Business - ,80000,0,541511,N/A,N/A,IT SERVICES IN THE SPACE DOMAIN
MD,MD-05,SERVICE SOURCE INC,NNG05AZ03C Modification 8,GSFC - Goddard Space Flight Center,"GREENBELT, MD (District 05)",02/06/2006,09/30/2010,"Nonprofit Organization,Sheltered Workshop,, Firm Fixed Price",Non-Profit Institutions - ,83352,0,561210,N/A,N/A,ADMINISTRATIVE SERVICES AT NASA'GSFC AND WALLOPS FACILITIES
MD,MD-05,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,GSFC0200008DNAS500167 Modification 80,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",02/06/2006,02/06/2006,"[No Vendor Indicators Found], Cost Plus Award Fee",Other Than Small Business - ,142225,0,541330,N/A,N/A,DATA ASSIMILATION&SOUNDER RESEARCH SUPPORT
