Month,FY 2007 New Grant Awards,FY 2007 Grant Awards Value,FY 2007 New Contract Awards,FY 2007 Contract Awards Value
October,5,1041358,82,12967138
November,26,5882875,147,45775043
December,49,6612827,354,70172703
January,156,37498105,862,152437771
February,113,15458257,579,47289614
March,157,18230203,684,59779825
April,166,14410612,752,59222267
May,218,23313818,784,52428398
June,243,27771227,938,124679122
July,272,23532484,974,136294721
August,288,31994936,1229,197760667
September,300,33060267,1404,184147009
Total,1993,238806969,8789,1142954278
