Month,FY 2012 New Grant Awards,FY 2012 Grant Awards Value,FY 2012 New Contract Awards,FY 2012 Contract Awards Value
October,7,1318865,257,12912831
November,25,3306061,366,33108526
December,49,9891534,462,32906073
January,67,9203600,534,51674765
February,66,9247780,881,109327672
March,117,16334768,722,59603406
April,196,22530112,831,129842518
May,228,30774926,760,79812376
June,158,20061855,876,73986237
July,92,12489562,1013,107568760
August,147,17014554,1733,289767579
September,295,45091996,1825,285716269
Total,1447,197265613,10260,1266227012
