Month,FY 2015 New Grant Awards,FY 2015 Grant Awards Value,FY 2015 New Contract Awards,FY 2015 Contract Awards Value
October,20,2832933,303,46723988
November,75,6175083,326,25573437
December,112,11191242,457,52895365
January,62,7208696,466,34729894
February,139,17145864,536,74219553
March,153,23607429,669,95860217
April,152,21719306,701,62590824
May,111,15293276,751,187655867
June,223,29507447,1215,185304663
July,195,40013151,951,78626686
August,181,34438352,1032,89003690
September,270,50702700,1382,190501648
Total,1693,259835479,8789,1123685832
