Month,FY 2006 New Grant Awards,FY 2006 Grant Awards Value,FY 2006 New Contract Awards,FY 2006 Contract Awards Value
October,48,12112440,229,13797876
November,105,26258129,426,59787092
December,84,21313156,554,52440768
January,111,26739718,862,69944897
February,167,19901192,613,73258279
March,225,29331831,798,84123800
April,197,22246901,766,53530505
May,173,18319139,975,80476042
June,207,25689243,1057,145483438
July,161,30341316,1162,92231722
August,185,41470420,1506,110937498
September,537,135618538,1937,234344394
Total,2200,409342023,10885,1070356311
