Month,FY 2014 New Grant Awards,FY 2014 Grant Awards Value,FY 2014 New Contract Awards,FY 2014 Contract Awards Value
October,4,341099,108,11127969
November,37,4411947,372,38952974
December,90,9216797,409,63886344
January,86,17940580,471,74137062
February,76,12442055,497,38027432
March,83,15313548,640,65152572
April,148,19429166,740,113201421
May,93,13639992,780,94692143
June,192,23971476,1135,112167158
July,241,41625997,1023,78437439
August,167,33076831,1156,108115083
September,276,58852987,1542,241173340
Total,1493,250262475,8873,1039070937
