Month,FY 2010 New Grant Awards,FY 2010 Grant Awards Value,FY 2010 New Contract Awards,FY 2010 Contract Awards Value
October,2,747023,252,23139705
November,62,19216184,397,30263582
December,137,33335754,574,50173898
January,119,12841226,977,103516696
February,100,11897250,688,65144443
March,116,17017167,942,136864781
April,148,15563053,915,119763156
May,104,13775331,883,86920353
June,144,17436712,1123,138565782
July,147,49372795,1099,85024898
August,307,58384819,1392,109149573
September,296,58696847,1472,239653446
Total,1682,308284161,10714,1188180313
