Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,MA,MA-05,Smithsonian Institution,80NSSC23PA366,Modification P00001,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",01/25/2023,01/31/2024,"Purchase Order, Firm Fixed Price",Non-Profit Institutions - Nonprofit Organization,$0,$0,541715,,,,DSCOVR Faraday Cup instrumentin-flight calibration and technical support
2024,MD,MD-04,Techanax Llc,80NSSC24FA795,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"GREENBELT, MD (District 04)",06/26/2024,07/14/2025,"Delivery Order, Firm Fixed Price","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Service Related Disabled Veteran Owned Business","$16,520","$16,520",541519,,,,Renew VERITAS software maintenance/DSCOVR project
2025,MD,MD-03,Sciglob Instruments & Services Llc,80GSFC24CA044,Modification P00003,GSFC - Goddard Space Flight Center,"COLUMBIA, MD (District 03)",06/25/2025,06/30/2026,"Definitive Contract, Firm Fixed Price","Small Disadvantaged Business,Woman Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Self Certified Small Disadvantaged Business, Women Owned, Women Owned Small Business","$260,000","$260,000",541715,,,,"The support of the DSCOVR EPIC instrument, continued on-ground calibrations, and level-1a data production"
2025,VA,VA-07,Redhawk It Solutions Llc,80NSSC25FA690,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"WOODBRIDGE, VA (District 07)",07/18/2025,07/14/2026,"Delivery Order, Firm Fixed Price","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Disadvantaged Business,Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Other Minority Owned, Partnership Or Limited Liability Partnership, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business","$17,544","$17,544",541519,,RFQ 346341,,Renew VERITAS/DSCOVR/etd
2025,MA,MA-05,Smithsonian Institution,80NSSC24PA547,Modification P00002,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",05/02/2025,04/30/2026,"Purchase Order, Firm Fixed Price",Non-Profit Institutions - Nonprofit Organization,"$72,328","$72,328",541715,,80NSSC24861822Q,,Contract to harvard for DSCOVR Faraday Cup instrument
