Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2024,CA,CA-28,California Institute Of Technology,NNN13D160T Modification 44,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",09/04/2024,04/28/2023,"Delivery Order, Cost Plus Fixed Fee","Government - Federal Government, Federally Funded Research And Development Corp, US Government Entity","$-25,318",$0,541712,80-0120,,,Orbiting carbon observatory-3
2024,CO,CO-02,Colorado State University,80NSSC21K1080 Modification P00003,NSSC - NASA Shared Services Center,"FORT COLLINS, CO (District 02)",07/05/2024,06/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$0,$0,[None Indicated],,,,"Reconciling gosat, oco-2, and oco-3 data to estimate robust annual mean co2 fluxes"
2024,CO,CO-02,Colorado State University,80NSSC21K1078 Modification P00003,NSSC - NASA Shared Services Center,"FORT COLLINS, CO (District 02)",09/09/2024,09/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$0,$0,[None Indicated],,,,This proposal seeks to reduce biases in satellite-based retrievals of xco2 from the oco instruments that are readily apparent in oco-2 target observations AS well AS oco-3 s snapshot area mapping (SAM) mode...
2024,MD,MD-07,"Johns Hopkins University, The",80NSSC21K1073 Modification P00003,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",09/18/2024,09/30/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,We propose to use observations from oco-2 and oco-3 to evaluate regional perturbations to the carbon cycle due to anomalies in climate
2023,AZ,AZ-01,Northern Arizona University,80NSSC23K0138 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"FLAGSTAFF, AZ (District 01)",11/08/2022,10/20/2025,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity","$50,000","$150,000",[None Indicated],,,,"Impacts of extreme heat and drought events on forest productivity assessed using oco-3, ECOSTRESS, desis, and GEDI (student: jen diehl)"
2023,AZ,AZ-02,Northern Arizona University,80NSSC21K1074 Modification P00002,NSSC - NASA Shared Services Center,"FLAGSTAFF, AZ (District 02)",09/21/2023,09/30/2024,"Grant, Grant For Research","Educational - Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity","$76,298",$0,[None Indicated],,,,"Regional anomalies in the carbon cycle: inferences from oco-2, oco-3, and an ensemble of terrestrial biosphere models"
2023,CA,CA-28,California Institute Of Technology,80NM0018F0511 Modification P00022,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/26/2023,11/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$5,358,198","$57,305,132",541715,80-0120,,,Orbiting carbon observatory-3 (85-16363)
2023,CO,CO-02,Colorado State University,80NSSC18K0909 Modification P00006,NSSC - NASA Shared Services Center,"FORT COLLINS, CO (District 02)",05/15/2023,05/08/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$0,$0,[None Indicated],,,,"17-oco2-17-0029, an intercomparison of global flux inversions of oco-2 and oco-3 co2 data for carbon cycle science and biascorrection"
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC21K1063 Modification P00002,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",08/24/2023,07/12/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$172,987",$0,[None Indicated],,,,Mitigation of 3d cloud radiative effects in oco-2 and oco-3 xco2 retrievals
2023,MD,MD-03,Universities Space Research Association,80NSSC18K1313 Modification P00004,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",03/31/2023,07/31/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-53,$-53,[None Indicated],,,,"The oco-3 instrument, scheduled for deployment to the International Space Station (ISS), will continue the legacy of the oco-2 mission while further advancing the capability of urban emission observation. a GREAT advantage over the oco-2 lies in the observing strategy of oco-3, focusing on co2 plumes over cities (100 targets PER day) using its map mode observation capability. from previous support, the proposal team have found that the oco-2, unlike japanese Greenhouse Gas observing satellite (gosat), kept missing major cities due to the lack of the pointing observation capability and only provided very few scenes where clear urban plumes and/ or co2 concentration enhancements were captured. also, the oco-2 swath (~8 km) is often too narrow to capture co2 plumes whose spatial and temporal structures are highly variable and CAN depend on a complex mix of emission patterns and local meteorological conditions. with the map-mode observations, the oco-3 should provide significantly more urban soundings and allow us to improve quantification of urban co2 emissions from global cities. the variability of oco-3 footprint scale co2 observations will be the key information used to constrain emissions. to fully utilize these fine scale spatial co2 gradients from the spatially-dense map-mode retrievals, the retrieval team will likely need to implement the retrieval evaluation in a different way than has been done for oco-2. the retrieval over urban areas are often challenging due to the presence of optically thick clouds and aerosols, which restrict viewing, and topography that is unique to each city and region. co2 fields from atmospheric transport models have been a valuable tool for evaluating the oco-2 retrievals and identifying large scale biases. those models used are however typically running at several tends to hundreds of km horizontal resolutions and are not able to resolve the fine scale urban co2 variabilities at the oco-2/3 footprint scale in terms of meteorology or surface emissions. this work proposes the use of high-resolution simulations AS an evaluation tool for the oco-3 data to ensure the realism of urbanscale spatial gradients. leveraging the locally calibrated wrf and high-resolution global simulations from NASA's geos model, we will support efforts of the retrieval team to quantify biases and errors in a more advanced way, supporting use of the level 2 retrieval code with high-resolution urban scale simulations of co2, cloud, and aerosol fields. to efficiently use the limited observation resource, this work also studies the optimal observation strategy BY optimizing the geometry of the oco-3 observations for focused cities using a state-of-the-art high-resolution urban inversion system. finally, we will prototype a global urban emission inversion leveraging ongoing NASA's high-resolution simulation capabilities and oco-3 data. this proposal is directly responsive to the call BY proposing work that performs an analysis of oco-2 and oco-3 data sets for understanding discrete sources of co2 emission, particularly focusing on the oco-3 capability. through the model-based evaluation, this work will ensure consistent data quality and better scientific interpretations of the level 2 data product between the two missions BY assessing retrieval biases, errors and covariance in the two products relative to key variables such AS observational geometries, clouds and aerosols. this work also perform new research and innovative analyses using data from oco-2 and 3, combined with other sensors (suomi-npp/VIIRS and CALIPSO) to advance the science goals of oco-2 and 3 in order to significantly advance our understanding of anthropogenic emissions which is a key component in the carbon cycle."
2023,MD,MD-03,Universities Space Research Association,80NSSC18K1307 Modification P00004,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",06/27/2023,06/28/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-2,109","$-2,109",[None Indicated],,,,"He oco missions' primary objectives are to make global observations of carbon dioxide (co2) in the atmosphere to improve our understanding of the various processes controlling atmospheric co2. exchanges between the atmosphere, terrestrial biosphere, and ocean remain essential controls that are dynamically responding to the human perturbation to the system. this proposal focuses on the anthropogenic input that drives the long-term growth of co2 and is the root cause of the large atmospheric perturbation. the ability of space-based observations to detect elevated co2 associated with urban regions has now been well established. the question of greatest scientific and societal relevance is linking these observations to quantification and attribution of anthropogenic emissions, and changes in anthropogenic emissions over time. major obstacles hindering widespread quantification of anthropogenic urban emissions center on limited observations, errors in transport representation, and the variable and often large role of the urban/exurban biosphere. this proposal targets these three key areas of uncertainty BY leveraging more oco-2 and oco-3 data (AS available), explicit assessment and improvement of transport via remote sensing observations of aerosols, and direct biosphere representation leveraging the SIF product from oco-2 and oco-3. BY advancing the science in this manner this proposal will lead to quantification of anthropogenic emissions in expanding domains (from the middle east to regions in mid-latitudes with significant vegetation), and the advance of techniques to quantify emissions in regions of the GLOBE where surface observations are not feasible. this capability will be key in our understanding of the rapidly evolving global carbon cycle AS well AS tracking anthropogenic emissions."
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC21K1073 Modification P00002,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",08/30/2023,09/30/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$152,878",$0,[None Indicated],,,,"Regional anomalies in the carbon cycle: inferences from oco-2, oco-3, and an ensemble of terrestrial biosphere models"
