Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2024,CA,CA-05,"California State University, Stanislaus",80NSSC22K1782,Modification P00002,NSSC - NASA Shared Services Center,"TURLOCK, CA (District 05)",09/27/2024,11/30/2027,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, Minority Institution, State Government, US Government Entity","$101,057",$0,[None Indicated],,,,"California state university stanislaus (csu stanislaus) is a Minority Serving Institution located in the central valley of california. with the support of both the college of science and the department of physics, geology and physical science, we submit this proposal to (a) host two NASA surface-based instruments, the pandora and aeronet, (b) fund the PI and co-i in their research to engage students in atmospheric science, (c) improve and EXPAND courses offered in earth and physical sciences related to our environment, (d) expose the local community of the central valley to NASA earth system science through outreach events and collaborations with community colleges. if this proposal is funded, this will be the FIRST time our university will receive a grant from NASA since our school s founding in 1965. these instruments will be hosted on the roof of our main science building with an unimpeded 360 degrees view of the horizon. a dedicated room will be provided NEAR the installation site, just below the proposed location of the instruments, for ancillary equipment, control units and computing devices with electrical power and internet ACCESS. both exterior and interior locations have controlled ACCESS where authorized personnel such AS the PI, co-i and lab technician have ACCESS to the instruments 24/7. additional equipment, machine shop and tools from the department of physics and geology are available for installation, calibration and maintenance of these instruments. this project will promote interests in atmospheric sciences, engage students in inquiry and research, and enhance the education of undergraduates at csu stanislaus. in fall 2021, 62% of csu stanislaus undergraduates identified to from a minority group. we would like to recruit future atmospheric and earth scientists from this diverse population with both research and course engagement. the PI and co-i will both supplement their courses related to atmospheric science using data from these instruments. these courses will induct our undergraduates into research on the atmospheric effects of wildfires and air quality of the central valley currently conducted BY the PI and co-i. our local community have very limited exposure to NASA science, especially in the realm of earth system science, this grant will also exhibit these instruments to our local community and colleges. we plan to create a display of live data feed from the instruments in the lobby of our main science building. this will allow our local residents to see NASA science at work in during outreach events held BY our college or university. the PI and co-i will also collaborate with local community colleges BY creating activities using data from these instruments AS recruitment tools for transfer students."
2024,CA,CA-38,"Whittier College, A Corporation",80NSSC22K1790,Modification P00002,NSSC - NASA Shared Services Center,"WHITTIER, CA (District 38)",09/20/2024,08/31/2027,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Hispanic Servicing Institution, Minority Institution, Nonprofit Organization, Private University Or College","$42,401",$0,[None Indicated],,,,"21-ipmsi21-0002, installation of pandora and aeronet sites at whittier college"
2024,VA,VA-03,Hampton University,80NSSC22K1792,Modification P00002,NSSC - NASA Shared Services Center,"HAMPTON, VA (District 03)",09/05/2024,09/30/2027,"Grant, Grant For Research","Historically Black Colleges and Universities - Corporate Entity Tax Exempt, Educational Institution, Historically Black College Or University, Minority Institution, Nonprofit Organization, Private University Or College","$106,387",$0,[None Indicated],,,,"Hampton university (hu), a private, non-profit, non-sectarian, co-educational institution was founded 1868 in hampton, virginia. hu is a historically black college and university dedicated to the promotion of learning, character building, and preparation of promising students for the positions of leadership and service. the department of atmospheric and planetary sciences  faculty members are actively engaged in related research sponsored BY the national aeronautics space administration (NASA), the National Oceanic and Atmospheric Administration, the Department of Defense and the National Science Foundation, and have significant experience in remote sensing. in particular, department personnel have considerable experience with NASA scientific Spacecraft-based remote sensor developments and scientific leadership of missions. hu has been involved in the aeronet network since may 26, 2017, cimel unit #1036. the hu pandora instrument is presently being field tested and will be a member of the global pandora network, pandora #156. the present hu instrument location on campus is a coastal site to the aeronet and pandora networks. hu is also a member of tolnet since the spring of 2019. all hu instruments are on the rooftop of turner hall on the hu campus. our large 48-inch lidar (diameter of our receiving telescope) is housed in an enclosed laboratory with a sliding rooftop to make measurements from 2 to 30 km altitudes. our smaller scanning lidar is in a dome on the rooftop. the 48-inch lidar uses an optical parametric oscillator laser to produce output wavelengths from 290 nm to over 2 micrometers, allowing us to make profile measurements of numerous gaseous constituents. we propose to have cimel and pandora instruments installed on the rooftop of the operations building on one of the islands of the chesapeake bay bridge tunnel (cbbt) island-3. this location is safe, secure and has ACCESS to electricity and internet. the site is accessible for routine maintenance and emergency procedures in advance of extreme weather events (tropical storms, nor easters, ETC.). this location would add a vital marine site to these networks. marine aerosol and trace gas information on a variety of time scales will be collected, analyzed and compared to coastal and purely continental sites. it would also add an off-shore TEMPO validation site for aerosols, column no2 and o3. we also propose the installation of standalone surface tipping-bucket rain gauges similar to the one at NASA Wallops Flight Facility for GPM validation. the gauges will be placed in the field of regard of our newly acquired x-band radar system (skyler) which INCLUDES PART of the virginia peninsula and extends out over the lower portion of the chesapeake bay including the cbbt islands. combining radar, satellite, and ground/water stations will provide a thorough validation for GPM and other precipitation measurements. a portion of this research will be conducted BY hu students under the guidance of faculty and potential NASA scientists. our AIM is to develop creative students in the area of atmospheric science and remote sensing. this NASA project will add a strong component to conduct this basic atmospheric research producing a pool of skilled graduates in this field, especially from underrepresented groups. the photometers, rain gauges and our existing lidar s and radar, for example, provide excellent multidisciplinary training in optics, lasers, detectors, electronics, computer programming, algorithm development, analysis techniques and atmospheric science. studies will include air quality, precipitation, aerosol and cloud science, atmospheric transport, and participation in studies using instrument networks."
2024,AZ,AZ-04,Arizona State University,80NSSC24K0106,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"TEMPE, AZ (District 04)",11/02/2023,09/05/2024,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$50,000","$50,000",[None Indicated],,,,"Single source, NASA goddard pandora grad student funding"
2024,MA,MA-07,Massachusetts Institute Of Technology,80NSSC24K0197,Modification P00001,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",07/29/2024,09/28/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$259,306",$0,[None Indicated],,,,"Single source, pandora: multiwavelength characterization of exoplanets and their host stars"
2025,IL,IL-01,"University Of Chicago, The",80NSSC21M0116,Modification P00014,NSSC - NASA Shared Services Center,"CHICAGO, IL (District 01)",11/21/2024,01/31/2026, Cooperative Agreement,"Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,652,133",$0,[None Indicated],,,,"We propose the newly-designed payload for ultrahigh energy observations (PUEO), which will characterize the most energetic astrophysical sources at cosmic distances."
2025,MO,MO-01,"Washington University, The",80NSSC22M0299,Modification P00004,NSSC - NASA Shared Services Center,"SAINT LOUIS, MO (District 01)",11/27/2024,09/30/2027, Cooperative Agreement,"Educational - Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization, Private University Or College","$1,046,132",$0,[None Indicated],,,,"Trans-iron galactic element recorder for the International Space Station, TIGERISS, an.exceptional nucleosynthesis pioneer"
2025,OH,OH-03,"Ohio State University, The",80NSSC22K0496,Modification P00003,NSSC - NASA Shared Services Center,"COLUMBUS, OH (District 03)",04/08/2025,04/30/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"21-adap21-0219, investigating the hot gas outflows of starburst galaxies"
2025,CA,CA-16,"Leland Stanford Junior University, The",80NSSC22K0718,Modification P00004,NSSC - NASA Shared Services Center,"STANFORD, CA (District 16)",04/08/2025,02/24/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Star-forming galaxies constitute a majority of galaxies in the universe. until recently they were only observed in radio, infrared, and optical wavelengths. thanks to the fermi large area telescope mission, a dozen of such galaxies are now observed in gamma rays. through these observations, empirical relationships were established between the star formation rate and radio, infrared, and gamma ray luminosities that holds over many orders of magnitude from dwarf galaxies up to starburst systems. the basic idea of a connection between the star formation rate that CAN be scaled through the thermal infrared emission, and nonthermal radio- and gamma rays seems to be clear. massive stars both heat infrared emitting dust and end their lives AS supernovae, whose remnants accelerate cosmic rays, the electron component of which produces synchrotron emission in the magnetic field of the galaxy. gamma rays with energies &gt;100 mev are the result of electron bremsstrahlung, inverse compton scattering off of the interstellar photons, and the hadronic emission produced in inelastic interactions of cosmic ray nucleons with gas. though this framework constitutes a physical basis for the correlation, its persistence over diverse interstellar environmental conditions is still a mystery. modern galaxy evolution simulations have included some of these processes but have a number of hidden parameters that undermine the reliability of their results. moreover, their steady-state solutions are suitable for unresolved systems, but DO not allow to accurately describe spatially resolved details that are observed in the local group galaxies. the objective of this proposal is to elucidate the nature of the widely-employed empirical radio/infrared/gamma-ray correlation, and its extension to sub-galactic scales. we will DO this BY modeling the thermal and non-thermal emissions from the milky way and local group galaxies. we are proposing to develop detailed models for the electromagnetic emission due to stars and dust in star-forming regions and entire galaxies. we will simulate the cosmic-ray transport and cosmic-ray-induced emissions from these galaxies BY including all relevant processes in the interstellar medium. in the CASE of star-forming galaxies, the energy density in the radiation and magnetic fields, cosmic rays, and turbulent motions of the interstellar gas are similar, so all of these components should be included self-consistently. our proposed study will provide the critical insights for breaking the impasse that the galaxy evolution modeling efforts have to properly include cosmic rays into the current frameworks."
2025,MD,MD-07,University Of Maryland Baltimore County,80NSSC22K1453,Modification P00002,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",02/25/2025,08/31/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$50,000",$0,[None Indicated],,,,"Ozone is an important gas throughout earth's atmosphere. prolonged exposure to ozone is associated with respiratory illness and.degradation of land and marine ecosystems. policymakers have imposed regulation on the emissions that produce ozone [nitrogen oxides (nox: no & no2) and volatile organic compounds (vocs)] in the atmosphere, however high ozone episodes continue to be observed, especially in domains of complex surface terrain like coastal areas. the processes that contribute to the production and dispersion of pollutants in the air we breathe are more complex in coastal regimes, especially within the chesapeake bay airshed. the effect of variable topography in the mid-atlantic region generates three distinct mesoscale features in wind paters: nocturnal low- level jets (nllj) which have to enhance pollutant transport and vertical mixing, downslope winds (dws) which enhance dispersion.and lofting, and bay-breeze which causes recirculation of polluted air mass. previous data gaps have left these three mechanisms lesser studied phenomena than their counterparts in other parts of the u.s. (i.e. the GREAT plains llj, the denver dsw, or the houston bay-breeze). these mechanisms are strong DYNAMIC drivers of atmospheric chemistry which are able to inhibit or enhance ozone production and alter chemical budgets and thus constitute a need for further study. to facilitate this, networks of routine highresolution observations are needed to capture the full temporal and spatial evolution of air quality episodes. ground-based remotesensing instruments like advanced lidars (wind, ozone, water vapor, and aerosol profiling), ceilometers, and spectral radiometers (pandora, aeronet), AS well AS in-situ samplers like sondes (meteorology and ozone) and surface analyzers (vocs, no2, and o3),.are needed at sub-hourly timescales (high temporal resolution) with stations in major terrain differences (i.e. urban, suburban, rural, mountainous, marine) for effective four-dimensional (4d, space and time) characterization of coupled chemistry and dynamics. the proposed work will combine these observations of winds, aerosols, and trace-gas pollutants to complement and extract new sciencefrom NASA's existing networks of ozone lidars (tropospheric ozone lidar network, tolnet) and pandora spectrometers. two overarching questions will be addressed: q1) CAN the high-resolution observations from tolnet and pandora be harmonized with regional surface air pollution observations and dispersion models, like the NOAA hysplit, to capture and quantify the evolution and regional impact of air quality episodes? q2) to what extent are vertical profile observations of ozone from tolnet and radiosondes.AS well AS column integrated values from pandora properly represented BY large-scale chemical transport models? DO the results show relevance and a good comparison with planned retrievals from space? this work will rely on datasets from recent NASA coastal air-quality campaigns conducted in the chesapeake bay, galveston bay, and lond island sound. the results of this work will serve to foster new process-level science on the coupling of chemistry and dynamics coastal area, facilitate the improvement of NASA's chemical transport models with observational validation, and meet a data gap within the agency for validation of planned ozone retrievals from space. the synergistic approach to air quality episode analysis will directly address the 2017 NASA decadal survey.questions: (w-5) what processes determine the spatiotemporal structure of important air pollutants and their concomitant adverse impact on human health, agriculture, and ecosystems? (w-7) what processes determine observed tropospheric ozone variations and trends, and what are the concomitant impacts of these changes on atmospheric composition/chemistry and climate?"
