Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,TX,TX-20,Southwest Research Institute I,HQTR0200204DNASW02008 Modification 110,MSFC - Marshall Space Flight Center,"SAN ANTONIO, TX (District 20)",07/24/2025,09/30/2029,"Definitive Contract, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,"$333,222",$0,541611,,,,"The discovery, new frontiers and lunar quest program office this is funding for new horizons"
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC25F7001 Modification P00009,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",07/28/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$500,000",$0,541715,,,,New horizons extended mission support
2025,CA,CA-28,California Institute Of Technology,80NM0018F0632 Modification P00019,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/25/2025,09/28/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,New horizons mission support task: phase e (SMD) 40-10958
