Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,MD,MD-03,Universities Space Research Association,80NSSC18M0086 Modification P00005,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",03/07/2023,11/30/2021, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-372,059","$-372,059",[None Indicated],,,,"Nitrogen oxides (noxno+no2), produced during combustion processes, are designated AS criteria pollutants BY the us Environmental Protection Agency (EPA) due to their negative effects on public health and the environment. they are precursors of ozone and particular matter, both of which are also criteria pollutants that have important implications for air quality, crop yields, and climate. while several space-based instruments have made no2 observations over the past 20+ years, the satellite-based no2 datasets have rarely been analyzed together in a systematic way due to algorithmic, instrumental, and observational differences. we propose to develop consistent long-term global data records of tropospheric and stratospheric no2 columns AS well AS value added surface no2 concentrations and anthropogenic nox emissions BY applying our mature no2 algorithms developed for the NASA earth observing system (EOS) aura ozone monitoring instrument (omi) to similar satellite spectrometers including heritage, concurrent, and upcoming instruments that observe at different times of day. over the past 12 years, our NASA omi science team has developed, implemented, and maintained the official NASA omi no2 product. our omi no2 product, archived at the NASA goddard earth sciences data and information services center (ges-DISC), has been widely used to quantify tropospheric pollution levels, study decadal world-wide changes in no2, evaluate chemical transport models, infer nox emissions, and study nox chemistry and lifetime. omi no2 is one of the most widely utilized aura datasets with over 400 research articles. the paper describing our version 2 no2 data set (bucsela et AL., 2013) is the second most downloaded paper in the history of the journal atmospheric measurement techniques. the number of users, science applications, and publications from these data continues to grow. our team s combined expertise and demonstrated ability to deliver timely and quality products to the community (e.g., operational level 1 calibration, level 2 no2 and cloud retrieval algorithms, and atmospheric modeling) provide confidence that the primary objectives of this proposal will be met in a timely manner: objective #1: adapt omi operational algorithms to other satellite instruments and create and archive consistent multi-satellite level-2 and level 3 no2 products. we will adapt our well-validated omi no2, cloud, and geometry-dependent surface reflectivity retrieval algorithms to prior and contemporaneous satellite instruments that include global ozone monitoring experiment (gome, 1996-2003), scanning imaging absorption spectrometer for atmospheric chartography (sciamachy, 2002-2012), gome-2 (2007-present), and tropospheric monitoring instrument (tropomi, expected launch in august 2017). the proposed adaptation of the omi l2 algorithms to these instruments will provide a self-consistent, long-term records ideally suited for analysis of global trends, diurnal changes in no2 columns, and nox emissions. objective #2: evaluate data sets developed in objective #1 for consistency. we will assess multi-satellite data from objective #1 using independent observations from ground-based and in-situ sensors, and characterize multi-satellite consistency, accounting for changes in satellite footprint sizes and no2 diurnal cycles. we will conduct multi-sensor, cross-calibration analyses BY 1) determining vicarious calibration adjustment factors, 2) systematically evaluating the temporal stability of the satellite spectrometers, and 3) assessing the accuracy of derived products and their consistency. objective #3: generate and archive higher level (l4) products. using the outcomes from objectives #1 and #2 and recent advances in NASA s modeling capabilities, we will generate higher level 4 products to enable new science and applied projects: surface no2 concentrations and nox emissions."
2024,CA,CA-36,Northrop Grumman Systems Corporation,NNG16HS04C Modification P00014,GSFC - Goddard Space Flight Center,"REDONDO BEACH, CA (District 36)",09/06/2024,03/31/2021,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$-239,$0,541712,80-0120,NNG15547385R,,EOS aqua and aura Spacecraft sustaining engineering support services.
2024,VA,VA-03,Cornell Technical Services Llc,80LARC21F0154 Modification P00003,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",01/03/2024,09/30/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-63,523",$0,541715,,,,Post terra/aqua/aura architecture Independent Review Board support
2025,VA,VA-08,Northrop Grumman Systems Corporation,80GSFC21C0041 Modification P00018,GSFC - Goddard Space Flight Center,"FALLS CHURCH, VA (District 08)",06/17/2025,03/31/2026,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$99,640",$0,541330,,80GSFC1R0004,,Spacecraft sustaining engineering support services for the earth observing system (EOS) aqua and aura Spacecraft. the principal purpose of the requirement is for the government to obtain rapid engineering response in the event of on orbit anomalies.
2025,VA,VA-03,Science & Technology Corporation,80NSSC25PA725 Modification P00001,NSSC - NASA Shared Services Center,"HAMPTON, VA (District 03)",04/22/2025,02/28/2026,"Purchase Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Subchapter S Corporation, Sub Continent Asian American Owned Business",$0,$0,541715,,80NSSC25896340Q,,To complete funded tasks AS co-i on the PI's aura-acmap project (earth science research)
