Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2024,CA,CA-28,California Institute Of Technology,NNN13D112T Modification 45,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",08/13/2024,09/30/2023,"Delivery Order, Cost Plus Fixed Fee","Government - Federal Government, Federally Funded Research And Development Corp, US Government Entity","$-37,848",$0,541712,80-0120,,,Orbiting carbon observatory-2 (oco-2) tailored formulation
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC19M0105 Modification P00008,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",03/17/2025,03/31/2024, Cooperative Agreement,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-7,$-7,[None Indicated],,,,"Long-term atmospheric measurements have revealed a 50% increase in the amplitude of the co2 seasonal cycle in northern high latitudes since the 1960s. this increase is much larger than the increase of the co2 seasonal amplitude in lower latitudes. the cause for such a dramatic change has been a huge puzzle for the science community. a number of studies have presented contrasting views on potential causes for this increase, including an earlier onset of vegetation growth and enhanced respiration related to climate warming in northern high latitudes, AS well AS an influence associated with increased agriculture production in mid-latitudes. to quantify the contribution of various processes that might be responsible for this dramatic change in northern high latitudes, we will leverage various new data products from the NASA s arctic-boreal vulnerability experiment (above), new satellites (oco-2, SMAP, tropomi), and recent advances in high resolution regional modeling techniques. FIRST, we will develop a high-resolution regional inverse modeling system, carbontracker-above that builds upon the NASA/ cms funded carbontracker-lagrange effort. carbontracker-above will integrate a variety of trace gas measurements (airborne in situ, airborne and satellite remote sensing, and ground-based in situ measurements) and satellite-based geospatial land products (e.g., SOLAR induced fluorescence (SIF), soil moisture, and vegetation indices) to derive surface fluxes at a 0.1o resolution for 2015   2019 with well quantified errors. unlike the traditional bayesian inverse modeling approach, we will maximize observational information obtained from satellites BY conducting geostatistical inversions that will not only be constrained BY co2 and carbonyl sulfide (cos) observations, but also be informed BY satellite land remote sensing products. the selected satellite land products, along with in situ and remote sensing atmospheric trace gas observations, will be used to inform inversions of co2 and cos, which will provide separate estimates of NET ecosystem exchange (nee) and gross primary production (gpp) over the above domain for 2015   2019. second, we will extrapolate measurement-constrained nee and gpp from the above domain to the pan-arctic for the last two decades using the high-resolution satellite-data-driven polar vegetation photosynthesis and respiration model (polar-vprm). the current polar-vprm was only calibrated BY fluxes measured from 4 eddy covariance towers. we will use our nee and gpp fluxes that are informed BY a comprehensive set of atmospheric trace gas observations and satellite remote sensing land products to separately tune parameterizations of gpp and respiration in the polar-vprm. the improved polar-vprm will be used to derive gpp and respiration over the arctic for the last two decades informed BY the long-term satellite records of EVI and SIF. third, we will integrate gpp and respiration fluxes estimated for the pan-arctic and available mid-latitude flux products into the global transport model carbontracker to separately investigate the impact of gpp, respiration, and transport on the trend of co2 seasonal amplitude in northern high latitudes over the last two decades. the proposed analyses will elucidate past changes of carbon fluxes from regional- (the above domain), to continental- (the pan- arctic), and then to hemispheric scales and further quantify contributions of various processes on a range of scales to a dramatic change observed in the atmosphere in northern high latitudes. our results will further provide insights into possible future changes of NET carbon fluxes in the arctic-boreal terrestrial ecosystems in response to climate change."
2025,CA,CA-28,California Institute Of Technology,80NM0018F0498 Modification P00036,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",07/11/2025,09/30/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,747,000",$0,541715,,,,Orbiting carbon observatory-2 (oco-2) tailored formulation 85-15362
