Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC23K0033 Modification P00002,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",09/05/2023,10/05/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$71,097",$0,[None Indicated],,,,Vensar radiometry observations of venus characterizing surface dielectric properties and potential volcanic activity
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC22K1270 Modification P00001,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",09/19/2023,07/19/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$95,472",$0,[None Indicated],,,,Application for membership to the envision vensar science team
2023,AZ,AZ-03,University Of Arizona,80NSSC23K0158 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"TUCSON, AZ (District 03)",11/14/2022,10/20/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$86,043","$736,792",[None Indicated],,,,"21-vensar-21-0006, envision vensar science team participation: polarimetry and interdisciplinary science"
2023,CA,CA-27,California Institute Of Technology,80NM0019F0090 Modification P00014,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 27)",12/28/2022,03/30/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$6,253,000",$0,541715,,,,JPL contribution to envision 42-711260
2023,CA,CA-27,California Institute Of Technology,80NSSC18K1350 Modification P00004,NSSC - NASA Shared Services Center,"PASADENA, CA (District 27)",01/25/2023,08/31/2022, Training Grant,"Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-15,811","$-15,811",[None Indicated],,,,"Methane is the second most important anthropogenic Greenhouse Gas but its emission estimates are highly uncertain because space-based observations lack sufficiently fine resolutions to unambiguously disentangle source categories. recent advancements in airborne remote sensing, such AS from the airborne visible/infrared imaging spectrometer (aviris-NG) and the hyperspectral thermal emission spectrometer (hytes) that use methane absorption features at 2.3 microns and 7.6 microns, enable quantitative retrievals of abundances at 1-5m spatial resolution, allowing for the direct detection of methane plumes and their origin. however, accurate inversion from detected methane concentration to the actual emission rate at the source has so FAR required simultaneous ground-based measurements of boundary-layer conditions such AS wind speeds and surface heat fluxes. this hinders the ability to quantify methane point sources from remotely-sensed data alone. using large eddies simulations (les) to simulate realistic methane distributions in the atmospheric boundary layer, i initially found that the spatial plume patterns are distinct under varying wind and heat flux conditions. in my optimeem project, i propose to apply modern Machine Learning (ML) algorithms to identify and characterize plume shapes and flux rates based on REAL NASA observational data and a large training dataset of les simulations under varying boundary layer conditions. the powerful Machine Learning approaches have the potential to completely reconstruct flux rates only based on plume shape and methane enhancements without the need of in situ surface measurements. i will FIRST test and refine the approaches based on simulated before applying them on REAL data obtained in recent NASA airborne campaigns. a specific focus will be to evaluate the potential of both short-wave AS well AS thermal retrievals BY taking the instrument averaging kernels and random noise into account. i envision that optimeem will be a crucial stepping stone towards the automation of the identification and quantification of local point sources over wide geographical areas from NASA airborne high-resolution methane remote sensing, but also being applicable to future high-resolution space-borne missions AS highlighted BY the 2018 NAS decadal survey consensus report."
2023,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00015,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/30/2023,03/30/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$6,578,000",$0,541715,,,,JPL contribution to envision 42-711260
2023,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00016,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",09/14/2023,03/30/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$4,304,000",$0,541715,,,,JPL contribution to envision 42-711260
2023,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00017,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",09/18/2023,03/30/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$4,000,000",$0,541715,,,,JPL contribution to envision 42-711260
2023,MD,MD-03,Cornell Technical Services Llc,80LARC23F0049 Modification 0 (Base Record),LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",06/16/2023,10/31/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$15,076","$23,586",541715,,,,Venus Synthetic Aperture Radar on envision (vensar) project Standing Review Board (SRB) support
2023,MD,MD-03,Cornell Technical Services Llc,80LARC23F0049 Modification P00001,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",08/08/2023,10/31/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$8,510",$0,541715,,,,Venus Synthetic Aperture Radar on envision (vensar) project Standing Review Board (SRB) support
2023,MD,MD-03,Northrop Grumman Systems Corporation,NNG14CR60C Modification 15,GSFC - Goddard Space Flight Center,"LINTHICUM HEIGHTS, MD (District 03)",08/31/2023,12/31/2017,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$-47,894",$0,541712,80-0120,NNH13ZDA001N-IIP,,"Earth science technology office (esto) 2013 Instrument Incubator Program (IIP)-this is an NRA award for proposal titled:  wide-swath shared aperture cloud radar (wiscr)the Goddard Space Flight Center (GSFC) and Northrop Grumman electronic systems (nges) seek to advance key enabling technologies for next generation multi-frequency space-borne radar for cloud and precipitation measurements. the earth science decadal survey (DS) aerosol, cloud and ecosystems (ACE) mission calls for a dual-frequency cloud radar (w band 94 ghz and Ka-band 35 ghz) for geospatial measurements of cloud microphysical properties. meanwhile, a tri-frequency spaceborne radar concept (w band 94 ghz, Ka-band 35 ghz, and ku-band 14 ghz) is being considered BY the cloud and precipitation science communities. we envision a wide-swath shared aperture cloud radar (wiscr) that will provide unprecedented, simultaneous multi-frequency measurements to enhance understanding of the effects of clouds and precipitation and their interaction on earth climate change. esto s Instrument Incubator Program (IIP-2010) enabled our investigation team to success-fully demonstrate the technical feasibility of a shared, large aperture antenna to achieve wide swath imaging at Ka-band and nadir profiling at w-band. our approach employs a parabolic cylindrical reflector with a Ka-band active electronically scanned array (aesa) line feed to achieve a swath exceeding 120 km. a low-loss reflectarray surface is applied to the primary reflector to provide a focused w-band BEAM. we propose to advance these technologies to address the emerging needs for spaceborne atmospheric radar. we will advance the technology readiness of wiscr through the following activities: (1) design/develop the KA band aesa module including the gan power amplifier mmic, the gaas multi-function mmic, the gaas low noise amplifier mmic, the power controller/gate regulator ASIC, and the transmit/receive circulator (2) develop through airborne demonstration a multi-channel arbitrary waveform generator (magw), a multi-channel frequency conversion module (mfcm) and a novel frequency diversity pulse pair (fdpp) technique (3) investigate architectures that extend our dual-band aperture technologies to provide tri-frequency shared aperture capability."
2023,MD,MD-03,Universities Space Research Association,80NSSC22K1859 Modification P00001,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",09/13/2023,08/28/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$96,761",$0,[None Indicated],,,,"21-vensar-21-0017, envision vensar observations of tectonic and volcanic processes on venus"
2023,MD,MD-03,Cornell Technical Services Llc,80LARC23F0049 Modification P00002,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",09/29/2023,11/30/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,$0,541715,,,,Venus Synthetic Aperture Radar on envision (vensar)project Standing Review Board (SRB) support
2023,NY,NY-19,Cornell University,80NSSC22K1272 Modification P00001,NSSC - NASA Shared Services Center,"ITHACA, NY (District 19)",08/31/2023,08/19/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College, Veterinary College","$66,320",$0,[None Indicated],,,,Eo14042 optimizing vensar observations to reveal the geologic history and activity of venus informed BY decades of terrestrial remote sensing
2023,TX,TX-20,Southwest Research Institute,80NSSC22K1860 Modification P00001,NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",09/07/2023,08/31/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$117,072",$0,[None Indicated],,,,"21-vensar-21-0041, envision synergies"
