Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,MA,MA-05,Smithsonian Institution,NNM07AB07C Modification 91,MSFC - Marshall Space Flight Center,"CAMBRIDGE, MA (District 05)",07/07/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,"$100,000",$0,541710,,,,"The hinode phase e mission is a continuation of a joint ""international"" venture to advance our understanding of the sun through observation in earth's orbit.  the continuation of this phase is titled, ""hinode,"" formerly known AS SOLAR-b x-ray telesco"
2025,CA,CA-16,Lockheed Martin Corporation,NNM07AA01C Modification 87,MSFC - Marshall Space Flight Center,"PALO ALTO, CA (District 16)",02/26/2025,10/31/2025,"Definitive Contract, Cost Plus Incentive Fee",Other Than Small Business - ,"$600,000",$0,541710,,,,"Hinode - focal plane package mission operations and data analysis. hinode is a continuation of a joint international venture between the u.s, g.b., and jpn toadvance our understanding of what powers the SOLAR atmosphere and drives SOLAR eruptions."
