Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,FL,FL-08,"Blue Origin Florida, Llc",80KSC021C0009,Modification P00013,KSC - Kennedy Space Flight Center,"MERRITT ISLAND, FL (District 08)",09/14/2023,12/31/2032,"Definitive Contract, Firm Fixed Price","Other Than Small Business - For Profit Organization, Limited Liability Corporation","$227,210",$0,336414,,RFP10-99-0021 REV N,,NASA Launch Services (NLS) II contract. exomars early coupled loads analysis.
2025,MI,MI-06,Regents Of The University Of Michigan,80GSFC24CA017,Modification P00005,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",03/13/2025,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$179,717","$34,635",541715,,80GSFC24R0018,,Contract to acquire the sixth iteration of the power-high voltage module (ph6) of the mass spectrometer (MS) portion of the Mars Organic Molecule Analyzer (MOMA) instrument carried BY a mars rover known AS exomars.
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC25F7011,Modification 0 (Base Record),MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",03/10/2025,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$60,000","$60,000",541715,,,,Rosalind franklin support & augmentation (rosa) project Integrated Baseline Review (IBR) and Standing Review Board (SRB) task order provides IBR and SRB support on rosa review teams.
2025,CA,CA-28,California Institute Of Technology,80NM0018F0854,Modification P00021,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/02/2025,09/29/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,"$-1,271,741",541715,,,,Exomars 2022 mission support (40-700117)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0002,Modification P00015,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",08/15/2025,09/30/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,699,140",$0,541715,,,,NASA Rosalind Franklin Mission project (40-712104)
