Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,CA,CA-36,The Aerospace Corporation,80MSFC18F0055 Modification P00002,MSFC - Marshall Space Flight Center,"EL SEGUNDO, CA (District 36)",09/14/2023,03/02/2018,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-658,$0,541712,,,,Special study on vacco check valve failure history with focus on the juno anomaly
2025,TX,TX-20,Southwest Research Institute,NNM06AA75C Modification 98,MSFC - Marshall Space Flight Center,"SAN ANTONIO, TX (District 20)",07/30/2025,08/31/2026,"Definitive Contract, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,"$1,064,430",$0,541710,,,,"The National Aeronautics and Space Administration has selected juno new frontiers mission under the direction of Principal Investigator (PI) dr. scott bolton to continue development with the expectation that the juno mission will enter phase b in early Fiscal Year 2006.  the juno mission will be managed BY the Marshall Space Flight Center, new frontiers program office.  key juno team members include dr. bolton's home institution, the southwest research institute (swri), the juno implementation team leader Jet Propulsion Laboratory (JPL) and the Spacecraft bus provider the lockheed martin space systems division (lm/SS).  the PI's team at swri needs to begin work on a subset of phase b activities AS early in FY06 AS possible.  this SOW provides a list of activities that are necessary to begin work in FY06 and their associated deliverables.the juno mission is a collaboration between southwest research institute (swri), JPL, lockheed martin (lm), and a complementary team of universities and field centers.  the Principal Investigator, dr. scott bolton, is at southwest research institute (swri) and is responsible to NASA for all aspects of the mission including achieving all scientific objectives and mission goals.  JPL provides the project manager who oversees the day-to-day management of the project and will report to the PI.Principal Investigator (PI) dr. scott bolton is responsible to NASA for meeting the scientific objectives of the juno mission within cost and schedule.  AS PI, dr. bolton has direct accountability to the NASA new frontiers program office for the implementation of juno.  all juno science co-is, the deputy PI and project scientist, the science investigation office manager, the e/po effort, the juno advisory board and the PM report directly to dr. bolton.  the PI delegates the day-to-day management of the project to the project manager (PM), rick grammier.  the project system engineer, payload manager, flight system manager, mission manager, science OPS center, business manager, lm contract ctm, and mission assurance manager all report directly to the PM."
2025,CA,CA-28,California Institute Of Technology,80NM0018F0452 Modification P00036,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",08/15/2025,12/28/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$500,401",$0,541715,,,,Juno phase e (44-16499)
