Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,TX,TX-24,University Of Texas At Dallas,80GSFC23CA043 Modification P00006,GSFC - Goddard Space Flight Center,"RICHARDSON, TX (District 24)",06/16/2025,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541715,,NNH17ZDA004O-GDC,,Extend POP and funding allotment date phase a-b bridge TPS instrument for GDC Spacecraft
2025,VA,VA-03,Cornell Technical Services Llc,80LARC19F0062 Modification P00002,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",04/02/2025,02/29/2020,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-3,878",$0,541712,,,,Geospace Dynamics Constellation instrument types cost range study. the purpose of this task order is to define the cost range for each of the instrument types expected in a Geospace Dynamics Constellation  mission.
2024,VA,VA-03,Cornell Technical Services Llc,80LARC21F0088 Modification P00004,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/01/2024,07/31/2022,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$2,721",$0,541715,,,,Geospace Dynamics Constellation (GDC) evaluation support
2024,MD,MD-03,Cornell Technical Services Llc,80LARC22F0027 Modification P00008,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",12/01/2023,11/30/2022,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$8,247",$0,541715,,,,Geospace Dynamics Constellation (GDC) Independent Review Board (IRB) support
2023,MD,MD-03,Cornell Technical Services Llc,80LARC22F0034 Modification P00005,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",04/18/2023,03/01/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-581,244",$0,541715,,,,Living With a Star (LWS) program Geospace Dynamics Constellation (GDC) .investigation implementation report (iir) evaluation
2025,IA,IA-01,"University Of Iowa, The",80NSSC19K0491 Modification P00007,NSSC - NASA Shared Services Center,"IOWA CITY, IA (District 01)",12/13/2024,06/30/2026,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$512,686","$512,686",[None Indicated],,,,"This three year proposal will support the development, optimization, and testing of chimera - a hybrid magnetometer that simultaneously operates AS both a search coil and a fluxgate. chimera is expected to provide reasonable sensitivity from DC to 10 khz from a single, compact sensor requiring only one deployable boom. this is particularly useful for small Spacecraft and cubesats, where multiple deployable booms are challenging so even modest sensitivity over this broad range is significant. the hybrid design builds on established fluxgate and search coil technology with decades of heritage operating in extreme and hostile environments. chimera is aligned with the NASA technology roadmap in technology area 8.3.3 in situ - instruments and sensors and will advance from TRL-3 (Technology Readiness Level) to TRL-6. science missions have often needed a Search Coil Magnetometer for high frequencies and a fluxgate for the static field and low frequencies. these two instruments interfere with each other - the search coil detecting the DRIVE signal from the fluxgate and the ferromagnetic core providing magnetic gain in a search coil distorting the field measured BY the fluxgate. the two resulting deployable booms affect Spacecraft control and CAN impinge the field of view of other instruments. a proof-of-concept laboratory prototype of chimera has demonstrated how to operate a racetrack fluxgate sensor AS both a fluxgate and a Search Coil Magnetometer using essentially the SAME hardware already present in a typical fluxgate instrument. the two sensing techniques CAN operate simultaneously without interfering in a hybrid sensor engineered to accommodate both effects. the proposed project supports early career development for the PI, david m. miles, and higher education training for one graduate student and three undergraduate research assistants. a flight-ready hybrid magnetometer enables the investigation of multiple science questions under the NASA heliophysics overarching science goal to:  advance our understanding of the connections between the sun, earth, the planetary space environments, and the outer reaches of our SOLAR system . a hybrid magnetometer is ideally suited for future missions including: a constellation follow-on to the recent funded gtosat radiation belt cubesat, daughter payloads deployed from the Geospace Dynamics Constellation (GDC), or small ride along Spacecraft that have been suggested for future planetary missions. magnetic field data from DC   10 khz from these missions would be important in addressing, respectively, three science goals identified in SOLAR and space physics: a science for a technological society: swmi science goal 4. establish how energetic particles are accelerated, transported, and lost swmi science goal 7. determine how magnetosphere-ionosphere-thermosphere coupling controls system-level dynamics and swmi science goal 8. identify the structures, dynamics, and linkages in other planetary magnetospheric systems. we have defined three investigation objectives to ensure that the hybrid magnetometer developed under this proposal is suitable for the broad spectrum of future heliophysics missions which require magnetic field measurements. 1) EXPAND the DC   2 khz bandwidth of the current hybrid magnetometer prototype to provide magnetic field measurements from DC   10 khz from a single magnetometer sensor. 2) optimize the search coil action of the hybrid magnetometer to achieve noise and sensitivity within a factor of four of that achieved BY comparably sized traditional search coil sensors (e.g., rbsp, THEMIS) 3) scale down the hybrid magnetometer sensor to nanosatellite geometry (&lt; 10 x 10 x 10 CM^3) while preserving scientifically useful sensitivity from DC-10 khz. chimera will enable high fidelity magnetic field studies on future smallsat/cubesat heliophysics missions around the earth, the moon, and other planetary bodies."
2024,MI,MI-06,Regents Of The University Of Michigan,80NSSC20K1313 Modification P00006,NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 06)",08/14/2024,08/31/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"To address the science questions proposed above requires a systems science approach that CAN take into account the coupling among the different regions in the NEAR-earth space system, AS well AS taking advantage of the synergies between advanced numerical models and multi-instrument observations. a suite of state-of-the-art numerical models available through the university of michigan s space weather modeling framework (swmf) will be employed in this project. in addition, comprehensive observations from the NASA heliophysics system observatory (hso), such AS ACE, wind, GOLD, guvi and twins, and ground-based instruments, in particular GNSS receivers and radars, will be analyzed to obtain physical insights into the underlying processes responsible for ionospheric storms and be utilized AS input and AS constraints for model benchmark and validation purposes. data from the ICON mission will also be used when available. our science objective is directly relevant to two science goals in the heliophysics decadal survey:  2. determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs 4. discover and characterize fundamental processes (e.g., ion-neutral coupling) that occur both within the heliosphere and throughout the universe. results obtained from this work will directly contribute to NASA geospace dynamics coupling (GDC) mission. in addition, ionospheric disturbances and thermospheric expansion are two of the five space weather disturbances highlighted in the president s space weather action plan (swan). our proposed efforts will result in improved scientific knowledge about them, which will lead to improved forecasts and thus have important practical benefits."
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC22PB841 Modification P00001,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",11/22/2022,01/15/2023,"Purchase Order, Firm Fixed Price","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,611310,,,,Univ of alaska - Geospace Dynamics Constellation investigation implementation phase a study
2023,MI,MI-12,Regents Of The University Of Michigan,80NSSC22PB904 Modification P00001,NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 12)",11/22/2022,12/31/2022,"Purchase Order, Firm Fixed Price","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541990,,,,Univ of michigan - Geospace Dynamics Constellation investigation implementation phase a study
2023,CA,CA-17,"New Tech Solutions, Inc.",80NSSC23FA431 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"FREMONT, CA (District 17)",04/17/2023,05/17/2023,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Sub Continent Asian American Owned Business","$209,793","$209,793",541519,,,,GDC parts in support of the serial data telemetry system (sdts)
2025,MI,MI-06,Regents Of The University Of Michigan,80NSSC23K0407 Modification P00002,NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 06)",02/24/2025,02/24/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-24,530","$-439,452",[None Indicated],,,,"Thermospheric composition and temperature are two critical variables affecting the coupled ionosphere-thermosphere (it) system. previous studies have shown the existence of strong hemispheric asymmetries in these two parameters. the seasonal variations of the SOLAR radiation DRIVE their FIRST-order hemispheric asymmetries. besides SOLAR radiation, the magnetosphere is another important energy source for the it system through poynting flux (pf) and particle precipitation. the hemispheric asymmetry of the magnetospheric energy source CAN also lead to asymmetries in the it system and even further enhance the existing asymmetries owing to SOLAR radiation. the interplay between the SOLAR radiation and magnetospheric energy input creates complex asymmetry in the thermosphere, which is not thoroughly understood BY the community. the overarching goal of this proposal is to better understand the hemispheric asymmetries of the thermosphere using comprehensive observational and numerical tools. the specific compelling but unsolved questions that need to be investigated are: (sq1) what is the local time (lt)/magnetic local time (mlt) dependence of the hemispheric asymmetries in the thermospheric composition and temperature? (sq2) how does the hemispheric asymmetry in the poynting flux impact the asymmetries in the thermospheric composition and temperature? with the launch of the global-scale observations of limb and disk (GOLD) instrument, high-cadence, global-scale measurements of both the composition and temperatures in the lower thermosphere are available. these data provide a golden opportunity to answer these science questions assisted BY state-of-the-art numerical models. to address sq #1, we will analyze the GOLD thermospheric measurements to obtain the monthly average distributions of the thermospheric composition and temperature in both geomagnetic and geographic coordinates. then we will design and calculate the hemispheric asymmetry indexes, and determine their seasonal, lt, mlt, latitude, and magnetic latitude dependence. to address sq #2, we will FIRST calculate the pf in each hemisphere based on the DMSP observations and evaluate its hemispheric asymmetry. then, we will apply information theory, i.e., mutual information and entropy transfer, to investigate the relationship between pf and thermospheric composition and temperature. we will also implement numerical models, i.e., the global ionosphere and thermosphere model (gitm), to simulate idealized events BY adjusting pf in the two hemispheres to evaluate to what degree the pf asymmetry CAN generate the observed thermospheric asymmetry. the above proposed studies will significantly deepen the understanding of the morphology and formation mechanisms of the hemispheric asymmetries in thermospheric composition and temperature, which directly addresses two heliophysics research program objectives and one objective of the upcoming NASA Geospace Dynamics Constellation (GDC) mission."
2024,MD,MD-07,The Johns Hopkins University,80NSSC24K1460 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",07/26/2024,06/30/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$50,704","$50,704",[None Indicated],,,,"Single source, mage model support for GDC: magnetosphere-ionosphere coupling"
2025,GA,GA-08,Space Power Electronics Inc,80NSSC25PA080 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"BONAIRE, GA (District 08)",10/23/2024,09/30/2025,"Purchase Order, Firm Fixed Price","Woman Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation, Women Owned, Women Owned Small Business","$26,880","$26,880",541330,,80NSSC25884753Q,,High voltage electrical engineering consulting on mosaic-GDC
2023,CO,CO-02,University Corporation For Atmospheric Research,NNX17AI39G Modification 5,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",03/01/2023,03/12/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-2,060","$-2,060",[None Indicated],80-0120,,,"The primary goal of this proposal is to elucidate the causal relationship between the high-latitude energy input and the formation of thermospheric neutral mass density anomaly through detailed model-data intercomparison. more specifically, we will address the following outstanding scientific questions: (1) what are the spatial and temporal distributions of high-latitude energy input in terms of joule heating and auroral precipitation for different SOLAR wind and geomagnetic conditions? what is the partition of energy input over the polar cap compared to that in the auroral zone? (2) how does the thermosphere respond to high-latitude energy input? what is the relative importance of the different physical processes that DRIVE thermospheric neutral density distributions in the polar cap AS well AS at middle and low latitudes? (3) what is the relative importance of joule heating versus auroral precipitation on thermospheric density anomaly? what fraction of joule and auroral energy input is deposited in the upper thermosphere where its influence on density is greater? these questions are important not only for understanding the physical processes governing the global thermosphere but also for predicting the NEAR-earth space weather AS thermospheric density perturbations possess serious hazards to satellite operations. this investigation will make extensive use of data from both current and past NASA missions, including TIMED, c/nofs, and image, leveraged BY other space and ground based observations, in order to obtain the most realistic specification of high-latitude energy input under different SOLAR wind and geomagnetic conditions BY applying the assimilative mapping of ionospheric electrodynamics (amie) procedure. we will use the thermosphere-ionosphere-electrodynamics general circulation model (tiegcm) to delineate the various dynamical and chemical processes affecting the thermosphere. numerical simulations with the tiegcm will be carried out to determine the spatial and temporal scales of thermospheric disturbances and to quantify the relative importance of joule heating and auroral precipitation on the thermosphere. the proposal directly addresses the 2nd high-level science goal of the heliophysics decadal survey:  determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs , and is highly relevant to NASA s strategic goals to  explore the physical processes in the space environment from the sun to the earth  and to  develop the knowledge and capability to detect and predict extreme conditions in space to protect life and society  AS outlined in the heliophysics science and technology roadmap for 2014-2033. our proposal is fully in line with these high-priority science objectives. the proposed investigation will advance our understanding of energetic coupling of the it system, a critical step toward a more reliable specification, and eventual forecast, of the thermosphere. an improved understanding of how high-latitude energy input affect the thermosphere from high latitudes to the mid- and low-latitude regions will greatly benefit the upcoming missions (e.g., ICON and GOLD). knowledge gained through this investigation concerning the spatial and temporal scales of thermospheric variability will also aid the design and optimization of future multi-Spacecraft constellation missions such AS GDC."
