Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,AR,AR-02,University Of Arkansas System,80NSSC19M0174,Modification P00002,NSSC - NASA Shared Services Center,"LITTLE ROCK, AR (District 02)",11/16/2022,09/30/2021, Cooperative Agreement,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-31,814","$-31,814",[None Indicated],,,,"Methane has been FIRST identified in the atmosphere of mars BY the planetary fourier spectrometer onboard mars EXPRESS (formisano et AL., 2004). it was then ed BY ground-based observations (mumma et AL., 2009) and later in situ BY the Mars Science Laboratory s SAM instrument (webster et AL., 2018). methane is a potentially significant resource for future exploration of mars, provided we CAN identify its sources, locations, and abundances. according to our current knowledge of the surface and subsurface environment of mars, one of the main sources should be clathrates hydrates, a structure composed of water molecules  cages  entrapping other gas molecules, including methane."
2023,VA,VA-08,Smithsonian Institution,80NSSC17K0454,Modification P00005,NSSC - NASA Shared Services Center,"ARLINGTON, VA (District 08)",12/20/2022,08/13/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-3,012","$-3,012",[None Indicated],,,,"Mars  valley networks are among the best lines of evidence for widespread fluvial modification of the planet s surface, but the climatic conditions present during their formation remain controversial. researchers have compiled global maps of valley networks from viking and THEMIS data to estimate various properties of mars  geologic history, including climatic conditions, formation timescales, and erosion rates. the channels mapped BY hynek et AL. (2010) are now covered 96% BY ctx imagery and 51% BY HRSC dems. we propose to use these high resolution data to conduct detailed geomorphologic studies and landform evolution modeling at eight valley networks, spanning a wide range of geologic settings, to address several outstanding questions. specifically, we propose two related tasks: (1) detailed geomorphologic mapping study using mola, HRSC, ctx and hirise (where available) imagery to study paleoflow properties formative processes. (2) use the marssim landform evolution model to explore sedimentary, hydrologic, and climatic conditions necessary for the observed distribution and varying densities of valley networks. integrating orbiter data with the marssim landform evolution modeling has proven to be an effective tool at deciphering a planetary surface s geologic history. characterizing the history of mars  surficial water and paleoclimate remain top NASA science themes AS stated in the 2013-2022 decadal survey. we will directly address both of these themes BY using data from the Mars Reconnaissance Orbiter and mars EXPRESS to understand the hydrologic properties and formative conditions necessary for valley network formation, which will yield insights into mars' past potential habitability."
2024,CO,CO-02,"Freestyle Analytical & Quantitative Services, Llc",80NSSC19K1228,Modification P00006,NSSC - NASA Shared Services Center,"LONGMONT, CO (District 02)",09/25/2024,09/24/2025,"Grant, Grant For Research","Other Than Small Business - For Profit Organization, Limited Liability Corporation, Sole Proprietorship",$0,$0,[None Indicated],,,,"We propose to use well established three dimensional (3d) imaging techniques developed and used for terrestrial seismic data to fully and accurately 3d image the polar regions of mars known AS planum australe (pa) and planum boreum (PB) using sets of subsurface observations acquired BY mars advanced radar for subsurface and ionosphere sounding (marsis) on the mars EXPRESS (mex) orbiter. we further propose to analyze and interpret the resulting 3d marsis images to refine our understanding of prior and search for new scientifically important pa and PB features, such AS accumulations of liquid water and buried craters within or beneath the polar layered deposits (pld)."
2025,AZ,AZ-07,Planetary Science Institute,80NSSC21K1091,Modification P00002,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",08/18/2025,07/31/2026,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"One of the most exciting discoveries brought about during the last half a century of SOLAR system exploration is that mars was a hydrologically active, earth-like planet. particularly significant is the finding that an ocean probably occupied the martian northern plains ~3.4 ga. this hypothesis has been the subject of debate and scrutiny for nearly half a century. PART of the controversy stemmed from the observation that the proposed paleo-oceanic basin lacks an appreciable continuity of paleo-shoreline features. a recent investigation suggests that the emplacement and long-term preservation of megatsunami deposits over the planet s ancient coastal environments covered the paleoshorelines, hence explaining their absence (https://www.nature.com/articles/srep25106). this investigation documents two possible megatsunami deposits   a younger one, which shows evidence of backwash channels over debris lobate fronts. an older one lacking evidence of backflow and showing dominantly icy compositions, perhaps because the WAVES froze during their run-up into the highlands. the older and a younger megatsunami respectively extended from paleoshorelines at the -3,800 m and -4,100 m elevations. a fundamental interpretation in the article is that mars experienced global paleoclimatic cooling during the oceanic regression phase. the evolution of the ocean s coastal environments, which is relevant to the understanding of mars paleoclimatic evolution and potential habitability, remains mostly unknown. here, we propose to map the distribution of all potential tsunami-related landforms throughout the entire northern plains and the interior lower flanks of elysium mons. we will use our mapping to establish spatial and temporal relationships that will allow us to investigate the evolution of the northern ocean and add detail to the rodriguez et AL. (2016) paleoclimatic reconstruction. wave height and other hydrodynamic characteristics will be determined using numerical simulations, which also generate coastal inundation distances and backwash patterns. we will compare these simulation outputs to the mapping results to find the best matching cases and provide reasonable geologic reconstructions of the tsunami events. we will use our mapping of megatsunami features for paleoshoreline reconstruction, which will allow us to investigate the coastal paleoenvironments formed during oceanic regression. these results will allow us to assess the martian ocean s longevity and the paleoclimatic conditions under which it existed. these results are relevant to current paleoclimatic modeling efforts and the search for geologic materials that might retain former life evidence. to this end, we will identify astrobiologically significant tsunami deposits BY combining our mapping and numerical simulations to establish the distribution of tsunami deposits that are mostly composed of eroded ocean floor materials. this proposal advances the mdap objective ""to enhance the scientific return from missions to mars conducted BY NASA and other space agencies"". the methodology proposed is dominated BY the analysis and interpretation of released mars Spacecraft data, specifically from the NASA mars global surveyor, mars odyssey, and Mars Reconnaissance Orbiter missions, AS well AS ESA mars EXPRESS. our proposed investigation will provide insights into the history of tsunami-driven coastal resurfacing in early mars oceans. our analysis of surface geomorphologic features within the proposed tsunami deposits will improve our understanding of climate change in the planet s early history and identify areas of astrobiological interest for future mars missions. thus, it is in direct support of the goals outlined BY mdap, and the decadal survey, particularly those relating to geological processes, the distribution of water, surface-atmosphere interactions, habitability, and climate."
2025,TX,TX-20,Southwest Research Institute,80NSSC24K0797,Modification P00002,NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",04/17/2025,03/11/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$95,000",$0,[None Indicated],,,,"23-pdart23-0002, archiving mars EXPRESS els background data to allow enhanced science"
