Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,VA,VA-03,Cornell Technical Services Llc,80LARC22F0012,Modification P00002,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/21/2023,01/31/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-9,973",$0,541715,,,,Extreme Ultraviolet High-Throughput Spectroscopic Telescope (EUVST) Standing Review Board (SRB) support
2024,MD,MD-03,Cornell Technical Services Llc,80LARC24F0003,Modification P00002,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",05/21/2024,12/31/2024,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,$0,541715,,,,Extreme Ultraviolet High-Throughput Spectroscopic Telescope (EUVST) Standing Review Board (SRB) support
