Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,MA,MA-07,Massachusetts Institute Of Technology,NNH17CH01C,Modification 26,HQ - Headquarters Acquisition Division,"CAMBRIDGE, MA (District 07)",08/17/2023,09/30/2023,"Definitive Contract, Firm Fixed Price","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$272,325",$0,541712,80-0124,NNH13ZDA018O,,"Eo14042nasa research announcement award for Mars Oxygen ISRU Experiment (MOXIE).  MOXIE represents a partnership headed BY an mit-LED investigation team and a JPL-ied instrument project team. the instrument project team builds, tests, and operates MOXIE. the integrated MOXIE investigation and instrument development plans are detailed in the MOXIE experiment implementation plan. the investigation team activities are summarized in the Statement of Work (SOW).  the investigation team activities INCLUDES predicts of the expected performance of the MOXIE, analyses the operational science data, identifies unexpected returns, and is the custodian of the science data.  under this contract, the investigation team will be funded from NASA HQ. this SOW covers a period of performance through the end of mars 2020's phase-d, ending BY the end of fiscal august 2018. phase-e activities will be discussed here, but in less detail and with less planning maturity than phase-a through -0 activities. the mit tasks are elements of the overall MOXIE investigation development. PER the Announcement of Opportunity the MOXIE development was broken into Work Breakdown Structure (WBS) elements. out of the overall project effort the following WBS elements are the performance responsibility of mit. other was elements are the performance responsibility of JPL or are subcontracts managed BY the MOXIE JPL instrument development team. collectively, the WBS elements at mit and JPL constitutes the complete MOXIE investigation.work under this contract INCLUDES efforts such AS:-  maintain subcontracts and/or agreements with co-investigators (co-is) and international collaborators-  provide an investigation summary and status for the mid-year and end-of-year reviews required BY Advanced Exploration Systems, NASA HQ -  participate in MOXIE team meetings, internal AS well AS coordination meetings with the mars 2020 payload office, including weekly technical interchange meetings (tims)-  participate in the mars-2020 MOXIE monthly management reviews (mmrs) for the purpose of reviewing and reporting on technical, management, schedule, and cost issues. a copy of the monthly mmr report provided to NASA HQ shall satisfy this contract's monthly reporting requirement.-  participate in key investigation reviews, including the instrument Critical Design Review (icdr) and the instrument delivery review (idr) and operational readiness tests (orts), further details AS described in the eip-  support and document the MOXIE development"
2024,CA,CA-28,California Institute Of Technology,80NM0018F0656,Modification P00037,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/23/2024,09/28/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,80-0120,,,Ingenuity mars helicopter - mars 2020 (40-700031)
2024,CA,CA-28,California Institute Of Technology,NNN16D019T,Modification 20,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",09/03/2024,07/31/2020,"Delivery Order, Cost Plus Fixed Fee","Government - Federal Government, Federally Funded Research And Development Corp, US Government Entity","$-52,758",$0,541712,80-0120,,,Leonardo - autonomous rotorcraft flight technology demonstration on mars 2020 mission
2025,CA,CA-36,The Aerospace Corporation,80HQTR19F0289,Modification P00003,HQ - Headquarters Acquisition Division,"EL SEGUNDO, CA (District 36)",08/04/2025,09/30/2020,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-12,545",$0,541715,,,,Inter-agency nuclear safety review panel (insrp) for mars 2020 NASA HQ Office of Safety and Mission Assurance
2025,VA,VA-03,Cornell Technical Services Llc,80LARC18F0048,Modification P00006,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/26/2025,09/23/2020,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-30,732",$0,541712,,,,Mars 2020 interagency nuclear safety review panel. NASA is planning to launch a robotic mission to mars in 2020. the mars 2020 mission is scheduled to launch from cape canaveral air force station during a launch opportunity beginning in july 2020.
2025,CA,CA-28,California Institute Of Technology,80NM0018F0616,Modification P00124,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",08/25/2025,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$120,000",$0,541715,,,,M2020 mars science rover project-phase e (extended mission) (40-19107)
2025,CA,CA-28,California Institute Of Technology,80NM0019F0065,Modification P00002,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",11/06/2024,12/30/2020,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,Space flight operations facility (sfof) renovation (b230 multi-mission operations - mars 2020)
2025,CA,CA-36,The Aerospace Corporation,NNH17CN06D,Modification 8,HQ - Headquarters Acquisition Division,"EL SEGUNDO, CA (District 36)",08/05/2025,09/30/2019,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-1,141",$0,541712,,,,"This task order is for the support to the mars 2020 project insrp in the review of the project SAR and development of the insrp ser.  support will be focused in three areas: 1. review of program generated materials BY the insrp and providing relevant comments back to the program to assist in the development of a high quality SAR, 2. the drafting-defending of the insrp ser for the mars 2020 mission, and 3. technical support for the development of the mars 2020 project insrps evaluation of late launch, sub-orbital and reentry dynamics associated with potential accidents that could release of radioactive materials."
2025,MD,MD-03,Johns Hopkins University (5111),NNN14AA14T,Modification 19,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",07/22/2025,10/31/2019,"Delivery Order, Cost Plus Fixed Fee",Other Than Small Business - ,"$-12,959",$0,541710,,,,"Mars 2020 (m2020) Standing Review Board (SRB)the contractor shall perform the work that is designated in task orders issued BY the contracting officer.   the overall scope of work to be performed will support all of NASA's mission directorates. these efforts CAN be characterized AS aerospace research, development, and engineering support (ardes). the general nature of the tasks to be developed will be to conduct supporting research and Advanced Technology Development designed to make contributions to space science and space exploration and assist NASA in the formulation and execution of its programs BY providing NASA with technical advice, studies, and reports of investigations. efforts undertaken BY the contractor, in the performance of the assigned tasks, which include technology transfer, partnering and commercialization activities, shall seek to enhance the value and contribution of technology to the nation s technological competitiveness, prosperity, quality of life, and other national priorities. individual task orders will fall within one of two broad categories: 1)  essential research capability of space systems engineering, and related work in the supporting essential research capabilities of systems test and evaluation, information technology, and simulation, modeling and operations analysis.  task orders within the category of essential research capabilities are intended to preserve the nation s capabilities to perform robotic space missions over the full mission life cycle from concept formulation through mission operations and data analysis. NASA is contracting for support in several key research, engineering and development competencies that are fundamental to the performance of these missions. 2) other aerospace research, development, and engineering support.  task orders within the category of other aerospace research, development and engineering support are intended to include a broad base of scientific and technical capabilities relevant to NASA program responsibilities and assignments. regardless of category, task orders may be issued related to autonomous deep-space and earth-orbiting Spacecraft or major subsystems, experiments, instruments or other devices that may be carried AS payloads on the space shuttle or on other Spacecraft. task assignments will explicitly describe a broad range of hardware, software, systems engineering, scientific analysis, and management efforts including program and project management and administration."
