State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	17	$26063358	8	$9334783	1	$49579	6	$9305746	6	$16419651	3	$14981923	0	$ 0	3	$1417728	6	$3655016
AL	290	$935871452	166	$194052777	35	$58260646	37	$100934579	33	$24743822	14	$19358155	9	$1123837	19	$12604856	27	$10314215
AR	9	$1539746	4	$214843	1	$15000	0	$ 0	3	$1306925	3	$1306925	0	$ 0	0	$ 0	2	$396925
AZ	79	$111077405	47	$7923569	8	$2742560	6	$1459452	9	$69231883	6	$68277445	0	$ 0	5	$2014467	10	$19735582
CA	1315	$3685650639	835	$285864970	141	$43640357	150	$138678795	117	$167866566	59	$86343500	0	$ 0	106	$100084123	117	$76364955
CO	156	$1580324598	98	$25986073	9	$22383449	6	$748059	18	$82801439	7	$78034426	0	$ 0	18	$16887569	28	$36825814
CT	85	$123290576	43	$3617942	6	$146082	6	$1048266	6	$2345271	1	$628873	0	$ 0	6	$1174924	6	$1981397
DE	23	$6434463	10	$482610	2	$103629	0	$ 0	2	$3426817	2	$3426817	1	$669142	2	$613719	2	$1854628
FL	511	$886237263	305	$200148964	66	$15521802	57	$120126468	32	$16066987	14	$11038478	3	$398874	22	$8907512	28	$13832016
GA	85	$17492031	36	$4577153	7	$1196396	3	$16868	13	$10076647	5	$249951	4	$261479	12	$6660403	16	$5361659
HI	15	$20212534	7	$139379	2	$173076	3	$177592	3	$14980272	3	$14980272	0	$ 0	4	$4464814	8	$8596655
IA	27	$6041822	8	$801591	1	$167136	0	$ 0	10	$4753987	10	$4753987	0	$ 0	5	$186201	12	$2600914
ID	8	$7077249	4	$861234	1	$99826	0	$ 0	2	$5041810	2	$5041810	0	$ 0	0	$ 0	2	$901803
IL	125	$19893168	62	$4326547	6	$196319	5	$469777	10	$5978314	4	$3576491	0	$ 0	13	$4735037	17	$7059423
IN	44	$111935744	20	$864536	0	$ 0	1	$199800	6	$5988821	3	$1495484	0	$ 0	7	$2195991	8	$4671134
KS	24	$2896550	8	$306308	0	$ 0	1	$216409	8	$1728416	5	$1378724	0	$ 0	6	$914706	10	$2129803
KY	25	$4961420	8	$282231	1	$22000	1	$119962	11	$4614508	6	$2550774	0	$ 0	8	$4014397	11	$2809205
LA	29	$305724597	9	$284661	3	$154255	1	$44545	13	$3712750	8	$2913820	3	$422983	4	$1204159	11	$3497935
MA	319	$176043638	184	$19767655	16	$965557	10	$1253737	29	$32199365	2	$2146669	0	$ 0	44	$93923952	52	$41474152
MD	696	$1552492335	405	$520914203	106	$62202769	128	$315549620	91	$191834861	45	$67732230	2	$4369094	75	$186053616	105	$55911392
ME	12	$4226007	5	$334854	0	$ 0	0	$ 0	2	$638959	1	$617854	0	$ 0	4	$2828379	3	$986599
