State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	6	$18919581	4	$440860	0	$ 0	3	$440860	2	$18478722	2	$18478722	0	$ 0	0	$ 0	3	$4254941
AL	126	$1895047568	83	$281417456	19	$95416991	25	$172362493	14	$35702466	11	$35281846	5	$642711	5	$25884317	7	$8245490
AR	6	$3026432	5	$1259385	1	$125000	0	$ 0	1	$1767047	1	$1767047	1	$89970	0	$ 0	1	$814154
AZ	63	$146305431	42	$19520096	7	$464260	8	$1253359	4	$85985050	4	$85985050	0	$ 0	3	$13750815	10	$36452011
CA	617	$4882663550	424	$441020567	82	$88381892	89	$162750454	36	$2964802870	20	$99471246	0	$ 0	35	$139901240	75	$112918733
CO	137	$1422949995	101	$48921518	12	$3377187	8	$2285188	9	$109362186	7	$109134380	0	$ 0	8	$23044919	20	$66644713
CT	51	$46168233	30	$21008222	2	$749530	1	$5089191	6	$4871004	2	$1224836	0	$ 0	1	$ 0	5	$3486296
DE	21	$13813282	11	$1266580	1	$124828	2	$142030	2	$8353459	2	$8353459	1	$ 0	2	$2182768	3	$2381618
FL	260	$857350081	167	$139645933	45	$19606775	46	$84822931	15	$30255740	11	$24086636	1	$268960	10	$29635093	24	$30081223
GA	44	$21508406	24	$2453950	5	$205458	5	$195363	4	$13922071	2	$12970417	1	$ 0	5	$1347892	5	$10845879
HI	12	$21756850	7	$1319276	2	$744245	1	$749945	1	$15540198	1	$15540198	0	$ 0	2	$4588578	5	$14646837
IA	8	$36823433	3	$97000	1	$ 0	0	$ 0	2	$35553513	2	$35553513	0	$ 0	1	$79046	2	$6914500
ID	8	$4184043	5	$153607	1	$11423	0	$ 0	3	$4030436	3	$4030436	0	$ 0	0	$ 0	2	$2250854
IL	80	$29001067	46	$10352333	9	$887247	9	$813841	9	$15074564	3	$7062464	0	$ 0	4	$954848	13	$14213508
IN	32	$64193485	16	$6478939	0	$ 0	0	$ 0	3	$11105094	1	$587921	0	$ 0	2	$65918	4	$9784644
KS	16	$11719102	11	$7614520	3	$5169529	4	$6678892	2	$2234932	2	$2234932	0	$ 0	1	$1744650	4	$2243266
KY	14	$14741578	7	$11055491	1	$1738750	1	$1738750	4	$3382312	4	$3382312	0	$ 0	2	$2282056	5	$1068876
LA	24	$18494304	12	$14594029	4	$1900377	1	$10923000	10	$3009746	8	$2773385	3	$891464	0	$ 0	8	$1381034
MA	155	$168596388	81	$18978304	8	$1809839	6	$1969017	15	$48758984	1	$4909430	0	$ 0	12	$81209017	31	$58739074
MD	285	$1919105272	194	$717046297	57	$145171783	72	$433429711	12	$118746497	8	$86005930	2	$583301	16	$328056291	23	$56695246
ME	8	$7339157	2	$561741	1	$437022	0	$ 0	2	$1004807	1	$475890	0	$ 0	3	$3352852	6	$2305336
MI	61	$46468342	35	$4843377	4	$683155	4	$777061	8	$39543937	7	$39543937	0	$ 0	4	$186630	12	$23608613
MN	40	$11103311	22	$2606690	1	$83750	1	$174956	4	$6505151	3	$6476606	0	$ 0	4	$7541626	3	$4738905
MO	30	$28305226	18	$3714722	2	$43300	2	$142645	4	$10335359	2	$1282979	0	$ 0	1	$-2814	6	$5676833
MS	72	$330098582	36	$49039788	14	$16657147	14	$37714732	5	$3632749	4	$3490024	0	$ 0	2	$173075	5	$1319263
MT	13	$11118666	6	$1393436	0	$ 0	3	$771783	5	$9760735	3	$9738891	0	$ 0	3	$-35505	6	$5971421
NC	50	$42464792	25	$28810053	5	$1197280	3	$25308784	14	$9772559	11	$8029002	4	$4340353	2	$1368692	13	$4425430
ND	3	$5566112	0	$ 0	0	$ 0	0	$ 0	2	$2565080	1	$2150850	0	$ 0	0	$ 0	1	$551653
NE	7	$2750091	4	$1698441	1	$1445564	0	$ 0	2	$1027050	2	$1027050	0	$ 0	0	$ 0	2	$177050
NH	33	$31587997	23	$9654142	1	$51977	0	$ 0	2	$13967387	0	$ 0	0	$ 0	3	$13964959	4	$11248413
NJ	82	$34940993	50	$5222154	6	$299155	7	$383450	8	$22051824	6	$8828730	0	$ 0	4	$4602868	10	$13072378
NM	43	$94016806	25	$18717869	4	$9875851	5	$8526588	5	$7028539	4	$6055951	0	$ 0	4	$1956937	7	$5452603
NV	16	$8995747	10	$3832353	5	$811580	2	$91794	2	$3772997	2	$3772997	0	$ 0	1	$640493	3	$2646586
NY	163	$162029570	87	$23483518	11	$4508279	7	$3799638	21	$33628970	3	$1855885	0	$ 0	15	$10927147	34	$31768450
OH	205	$204287618	132	$122584129	22	$49275293	23	$82419602	14	$8064560	11	$6829604	1	$ 0	8	$5465365	17	$5995944
OK	17	$72859014	7	$346637	3	$185638	0	$ 0	5	$71821137	4	$71821137	1	$ 0	2	$575459	4	$2942894
OR	30	$15289656	20	$5459853	2	$151097	1	$1321720	3	$7052924	3	$7052924	0	$ 0	1	$41600	4	$5839374
PA	131	$168213952	89	$135993666	10	$494588	3	$297373	14	$20138611	6	$16355112	0	$ 0	6	$1866381	18	$13969975
RI	9	$6976302	3	$2312461	0	$ 0	0	$ 0	3	$4434312	1	$971061	0	$ 0	1	$95700	4	$3530012
SC	17	$9806269	9	$1165831	2	$916140	0	$ 0	4	$8572083	4	$8572083	0	$ 0	1	$ 0	4	$3019230
SD	8	$8799099	6	$7355382	2	$5882796	0	$ 0	2	$1403348	2	$1403348	0	$ 0	0	$ 0	2	$404479
