State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	10	$13650773	5	$4821177	0	$ 0	3	$4806272	2	$8697575	2	$8697575	0	$ 0	2	$50000	4	$3216575
AL	245	$1252685356	154	$241718775	40	$56163192	36	$119350617	15	$21027808	9	$20630295	1	$9000	14	$12655017	9	$8603093
AR	6	$2296016	5	$370297	1	$3230	0	$ 0	1	$1925719	1	$1925719	0	$ 0	0	$ 0	1	$646150
AZ	83	$93631837	50	$8726345	9	$801620	7	$1441972	5	$49469194	4	$49484199	0	$ 0	6	$6520048	8	$26491498
CA	975	$3571495563	683	$277835969	119	$42619922	121	$120815328	48	$194821794	27	$158901458	1	$ 0	49	$114076440	76	$83848181
CO	162	$1797647590	115	$30478823	11	$13452988	10	$490433	11	$75501065	7	$75596706	0	$ 0	8	$15809008	23	$54904692
CT	70	$30247781	35	$5942550	3	$83359	3	$1705226	5	$4140508	2	$1243087	0	$ 0	2	$40010	5	$2661281
DE	18	$8294703	8	$398644	3	$265747	0	$ 0	2	$5329176	2	$5329176	1	$1949988	3	$290739	3	$2770945
FL	418	$482729794	280	$122762000	68	$15361462	45	$51445660	13	$31532521	9	$26781401	0	$ 0	14	$17910744	17	$14215890
GA	69	$16904574	42	$1038361	5	$25734	3	$19760	9	$10165435	5	$7832335	3	$-1257	9	$2526170	8	$8690568
HI	12	$21350213	3	$951324	1	$6088	1	$6088	3	$16081746	3	$16081746	0	$ 0	5	$4316543	7	$13718761
IA	19	$10742477	8	$1351368	0	$ 0	0	$ 0	7	$6553820	6	$6553820	0	$ 0	1	$103294	8	$4884569
ID	9	$3215574	5	$77371	0	$ 0	0	$ 0	4	$3138203	4	$3138203	0	$ 0	0	$ 0	4	$2051526
IL	110	$21918877	66	$5769943	13	$1139152	9	$2417813	10	$12975873	5	$8090695	0	$ 0	8	$1358599	14	$11194160
IN	37	$159637571	20	$7052522	0	$ 0	3	$36403	6	$6946725	2	$361797	0	$ 0	3	$35000	9	$4365134
KS	28	$4580318	13	$475583	0	$ 0	4	$522767	4	$1585649	4	$1585649	0	$ 0	3	$2310530	4	$440142
KY	7	$1577092	3	$189481	1	$181571	1	$181571	3	$1350220	3	$1350220	0	$ 0	2	$1186273	4	$615257
LA	13	$68109902	5	$200500	2	$27912	1	$14966	5	$3128358	5	$3128358	3	$1983519	0	$ 0	2	$540061
MA	225	$183111545	127	$25412962	13	$569249	7	$2668794	15	$57165456	1	$4529797	0	$ 0	25	$81875367	38	$48402196
MD	578	$1862943053	352	$612830863	103	$82663652	109	$506090100	31	$111373154	15	$58399191	2	$762770	46	$252216414	42	$54247377
ME	9	$4324846	2	$43312	1	$37489	0	$ 0	3	$2022766	1	$1839572	0	$ 0	3	$2015584	5	$2969881
MI	93	$31095672	64	$3375329	6	$548669	8	$203771	9	$25353038	7	$25271831	0	$ 0	4	$961992	11	$11834005
MN	57	$11408104	24	$2317733	3	$100628	2	$98824	3	$5062591	3	$5062591	0	$ 0	2	$4707725	6	$3669806
MO	29	$13878595	12	$442918	2	$59500	2	$412316	7	$9095951	3	$2384278	0	$ 0	0	$ 0	6	$7412286
MS	118	$388481430	56	$41617271	20	$11954645	17	$32469632	6	$3372627	5	$3352039	1	$-615	5	$143081	5	$1085911
MT	17	$8598514	8	$2246973	1	$-7	2	$457397	6	$6279170	3	$5821773	0	$ 0	5	$243271	6	$4430382
NC	63	$9167180	35	$1506364	7	$1063686	2	$532519	10	$6309665	8	$3036581	3	$468583	5	$761357	10	$5722427
ND	5	$2832987	2	$29200	0	$ 0	1	$ 0	1	$2326987	1	$2326987	0	$ 0	0	$ 0	1	$994634
NE	8	$4308874	5	$509881	1	$365747	0	$ 0	2	$3795893	2	$3795893	0	$ 0	1	$308490	2	$1697863
NH	44	$29843951	30	$15324934	1	$227826	0	$ 0	2	$11473255	1	$-112	0	$ 0	3	$12128259	3	$9187897
NJ	97	$16923944	55	$3517612	11	$745471	9	$649415	8	$9863931	4	$4352258	0	$ 0	7	$3842975	11	$9099006
NM	56	$27723376	38	$11582122	6	$71991	10	$496282	3	$13950895	3	$13950895	0	$ 0	4	$1752910	4	$3777937
NV	30	$8195188	20	$3732169	2	$640897	2	$34865	3	$2326155	3	$2055266	0	$ 0	2	$891958	3	$2073139
NY	211	$103239408	130	$16089831	17	$1104618	8	$2298349	24	$32688645	2	$1077299	0	$ 0	23	$12917008	35	$28417549
OH	356	$225366222	236	$146966940	44	$33788980	37	$103754176	19	$7961392	12	$6588773	0	$ 0	16	$15238918	15	$6647502
OK	19	$8663864	10	$2185635	4	$2138210	2	$1447235	4	$5852485	2	$5852592	1	$1989037	3	$364723	5	$2597813
OR	47	$18303732	33	$5860395	3	$392289	0	$ 0	4	$9804399	4	$9804399	0	$ 0	3	$409918	8	$9894728
PA	172	$38920939	108	$13763686	9	$203669	2	$124900	18	$17202619	5	$13296969	0	$ 0	9	$685208	20	$12879687
RI	13	$5691710	7	$1185357	0	$ 0	0	$ 0	3	$4261918	1	$285058	0	$ 0	1	$38500	4	$3687168
SC	28	$6600186	16	$1028496	2	$106351	2	$45061	5	$4401375	5	$4401375	0	$ 0	3	$1134885	6	$2441363
SD	7	$5406202	4	$208187	1	$196164	0	$ 0	2	$5198015	2	$5198015	0	$ 0	1	$ 0	2	$2350180
