State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	5	$16578992	2	$5523163	0	$ 0	2	$5523163	2	$11055829	2	$11055829	0	$ 0	0	$ 0	3	$1947908
AL	303	$967344582	192	$355686160	35	$33650051	35	$68186454	27	$25418227	10	$18752083	10	$1906411	17	$11864072	21	$5847677
AR	14	$3274910	5	$1309595	1	$49310	2	$274291	7	$1855999	5	$1567349	0	$ 0	0	$ 0	5	$489309
AZ	90	$98902904	52	$22284494	9	$972022	6	$1453863	14	$61796552	11	$60424490	0	$ 0	8	$3302914	14	$15010120
CA	1127	$3289369312	697	$256819150	94	$38811849	110	$156847111	150	$161099126	62	$77109165	4	$-60755	112	$102470904	100	$69207378
CO	153	$362234564	98	$18094024	10	$3017462	9	$1096046	19	$67830423	5	$45230797	0	$ 0	20	$11919054	20	$32391521
CT	86	$147196541	46	$6870878	6	$300128	4	$799359	7	$3001002	4	$733073	0	$ 0	6	$1944679	6	$2093331
DE	20	$8339768	9	$1163253	1	$ 0	1	$ 0	1	$1954967	1	$1954967	0	$ 0	1	$1954967	1	$1342992
FL	401	$983590427	258	$246948209	53	$49224781	44	$66887625	31	$10886200	9	$5129889	2	$ 0	26	$7122730	32	$7219027
GA	88	$28917638	41	$4174126	6	$280416	5	$444050	14	$16783817	4	$254466	4	$1774698	9	$15490435	16	$4771347
HI	14	$15746054	6	$282925	1	$20388	2	$167238	5	$10781306	3	$10772723	0	$ 0	4	$4468691	7	$7023329
IA	22	$9910242	7	$922254	1	$3775	0	$ 0	8	$4575684	7	$4575684	0	$ 0	5	$1133004	10	$3649544
ID	11	$3506451	9	$1357838	0	$ 0	0	$ 0	2	$2148613	2	$2148613	0	$ 0	0	$ 0	2	$496878
IL	121	$26764440	77	$13557750	7	$614181	8	$1459194	14	$6225889	4	$3125394	0	$ 0	17	$5815198	15	$7521047
IN	39	$137418690	22	$1480309	0	$ 0	0	$ 0	9	$5451554	3	$525182	0	$ 0	4	$4813231	9	$4321958
KS	16	$3210402	5	$982132	0	$ 0	0	$ 0	5	$143000	3	$143000	0	$ 0	5	$2039223	4	$655565
KY	22	$3242699	6	$433867	2	$23229	0	$ 0	10	$2256444	5	$885950	0	$ 0	7	$2018444	10	$702509
LA	27	$333101483	8	$820218	0	$ 0	3	$490307	12	$2476549	7	$1650353	2	$704000	4	$922196	8	$724588
MA	308	$177783171	177	$27723298	12	$1192129	9	$3549182	45	$29569936	4	$1538154	0	$ 0	53	$100924472	53	$41143511
MD	689	$1458656877	434	$483272155	99	$55684072	106	$338028751	62	$88083776	16	$54479307	4	$1303762	57	$174912351	49	$44704854
ME	14	$3707212	4	$309406	2	$20300	0	$ 0	4	$410409	3	$410409	0	$ 0	2	$1302512	5	$1505188
MI	93	$21343309	56	$4483355	7	$943132	4	$480636	13	$13501806	10	$13240472	0	$ 0	14	$6390375	18	$10121936
MN	54	$14177645	31	$1351035	3	$431057	2	$345350	3	$4641702	2	$4638302	0	$ 0	2	$1880836	3	$3124168
MO	41	$15943166	17	$962833	3	$19026	3	$2142463	15	$10295944	5	$752000	0	$ 0	7	$3175524	13	$8974612
MS	107	$284339610	46	$65130220	8	$4059995	11	$25956691	19	$24185578	7	$11936680	2	$ 0	5	$1296779	19	$2191341
MT	20	$5686121	9	$1956143	1	$ 0	1	$77675	9	$3358876	7	$3101652	0	$ 0	2	$257224	10	$1473952
NC	84	$6409522	45	$1433987	3	$78288	3	$-115000	19	$3792432	12	$2074842	5	$83052	9	$2494291	19	$2218368
ND	6	$4466006	0	$ 0	0	$ 0	0	$ 0	3	$4399177	2	$4399177	0	$ 0	1	$ 0	4	$726701
NE	9	$1692321	3	$80428	1	$33975	1	$33975	5	$1594368	4	$1596898	0	$ 0	4	$1127882	5	$828368
NH	54	$18855716	41	$4538522	5	$1120368	2	$354000	5	$11138972	2	$1633853	0	$ 0	2	$2571853	5	$9793927
NJ	158	$52757654	106	$7296635	9	$524299	3	$215157	17	$6462344	1	$1546060	0	$ 0	14	$4336277	19	$5954510
NM	67	$93909052	41	$37196312	10	$1270304	15	$34649083	12	$21297596	6	$21210177	0	$ 0	8	$1443682	10	$1475693
NV	21	$2709687	12	$743281	0	$ 0	0	$ 0	5	$1692746	5	$1692746	0	$ 0	2	$211246	6	$568992
NY	242	$55564409	143	$13743668	13	$723248	15	$3750959	34	$20904693	1	$-81275	0	$ 0	38	$14593355	46	$18521498
OH	344	$245758309	230	$149521549	35	$11595484	46	$95292244	30	$13714003	14	$8578705	0	$ 0	29	$17462875	19	$6370072
OK	19	$10301575	8	$-333925	2	$147447	2	$625223	6	$8323153	2	$7154448	0	$ 0	5	$1575438	4	$555141
OR	41	$9554234	28	$3500685	5	$206984	0	$ 0	6	$4206261	6	$4206261	0	$ 0	3	$124180	9	$3612054
PA	204	$35366843	129	$10187795	14	$1332150	1	$7791	28	$21514568	12	$13163843	0	$ 0	20	$8447500	28	$12394818
RI	21	$5636887	10	$245719	3	$67740	0	$ 0	4	$3543299	1	$1024043	0	$ 0	5	$3434756	7	$2059400
SC	33	$4631559	14	$759356	3	$88790	0	$ 0	11	$2920094	11	$2920094	1	$ 0	4	$869060	10	$1549998
SD	7	$2938849	2	$12770	0	$ 0	1	$6420	3	$2916052	1	$835209	0	$ 0	3	$2916052	2	$763383
TN	55	$21613261	28	$3447845	5	$810240	6	$338458	16	$4640050	10	$2646072	1	$114786	11	$12590698	16	$1816004
