State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	13	$11058145	7	$1904687	0	$ 0	4	$1394291	2	$9029944	2	$9029944	0	$ 0	2	$36846	3	$4146139
AL	155	$1468171170	99	$265351611	24	$81034809	31	$149048786	10	$19947378	8	$19901392	4	$615444	7	$13982920	5	$5280950
AR	4	$1909183	3	$975164	0	$ 0	0	$ 0	1	$934019	1	$934019	0	$ 0	0	$ 0	1	$536850
AZ	76	$99937342	46	$10450950	13	$1263719	7	$1387312	4	$49478908	4	$49478908	0	$ 0	4	$7672707	8	$28856942
CA	934	$3944882414	654	$282712344	113	$53462563	120	$118853557	41	$151208690	25	$114339936	1	$-88194	42	$125880256	75	$85239997
CO	160	$1853079195	116	$31899694	18	$11462603	5	$983887	9	$88887436	7	$88821127	0	$ 0	7	$15114755	18	$53062874
CT	76	$26094326	38	$6956825	4	$131307	2	$1219235	5	$4020835	2	$1441905	0	$ 0	3	$ 0	5	$2411106
DE	20	$7683939	11	$2273400	3	$755535	0	$ 0	2	$3574795	2	$3574795	1	$1045558	2	$310358	4	$1993184
FL	390	$813175733	254	$124334237	56	$21296442	50	$48222510	16	$32346068	12	$27444352	1	$-11192	14	$35058400	22	$17893183
GA	81	$24889734	47	$4665566	9	$1158503	8	$238331	8	$13636588	5	$12581296	2	$722	6	$3683000	9	$11247991
HI	11	$21966923	5	$1399165	2	$124915	1	$ 0	2	$18423170	2	$18423170	0	$ 0	3	$2143388	5	$16739988
IA	17	$7604906	7	$674896	1	$6369	0	$ 0	4	$5928159	4	$5928159	0	$ 0	1	$59190	4	$4154344
ID	12	$4945114	8	$450555	1	$11742	1	$11742	4	$4494559	3	$4294559	0	$ 0	0	$ 0	3	$3017104
IL	107	$31340528	68	$10715466	16	$4557723	11	$2906110	8	$19244505	3	$10800870	0	$ 0	7	$457781	11	$14494398
IN	48	$210707836	23	$2014601	0	$ 0	3	$94952	6	$7554692	2	$215282	0	$ 0	2	$35000	7	$4540644
KS	25	$8142104	10	$2199533	0	$ 0	4	$1995968	4	$1299081	4	$1299081	0	$ 0	4	$4423682	5	$4699720
KY	15	$5845451	8	$862403	1	$71364	2	$77007	4	$4917576	4	$4917576	0	$ 0	3	$2390301	5	$1280769
LA	17	$11167529	7	$57017	2	$38446	1	$30000	6	$2348379	6	$2348379	2	$889549	1	$12800	2	$496964
MA	222	$172740789	129	$20020726	15	$1806911	2	$ 0	14	$48237873	1	$5296760	0	$ 0	22	$89906609	38	$47918836
MD	493	$1942822953	307	$642591990	83	$107569869	106	$546339708	18	$98499062	10	$64903281	3	$1056292	29	$267376588	29	$56630572
ME	9	$7257146	2	$216015	0	$ 0	0	$ 0	3	$1722102	1	$1575868	0	$ 0	3	$4346844	5	$2757406
MI	94	$46180505	62	$6963945	1	$8855	8	$687594	8	$33613337	7	$33610587	0	$ 0	5	$1022521	10	$14298993
MN	56	$13745980	27	$2191683	4	$63446	3	$153790	6	$7219136	3	$7295304	0	$ 0	5	$8940486	5	$3296075
MO	33	$22004533	15	$2235412	2	$153115	1	$ 0	6	$8996114	3	$2302051	0	$ 0	1	$11200	5	$5558532
MS	103	$357287119	49	$43097114	14	$18429110	14	$28476085	5	$3240367	4	$3353131	2	$-121611	3	$214825	6	$324854
MT	22	$11254939	13	$2838283	0	$ 0	4	$1083783	5	$8231206	3	$7826246	0	$ 0	4	$336545	6	$5711775
NC	68	$11105276	42	$1968779	12	$1120141	3	$336914	12	$6774302	8	$3850609	3	$566889	6	$1189122	11	$6155860
ND	4	$2591135	0	$ 0	1	$8000	1	$147544	2	$2583135	1	$2435591	0	$ 0	1	$147544	1	$1496316
NE	9	$2569159	4	$176023	1	$76201	0	$ 0	2	$2331998	2	$2331998	0	$ 0	1	$326369	2	$1111346
NH	42	$25532615	32	$13914155	1	$260211	1	$121629	2	$9094213	0	$ 0	0	$ 0	3	$9291943	3	$6866299
NJ	91	$22165474	50	$5713401	12	$659393	6	$929681	5	$10570175	3	$4110667	0	$ 0	8	$4075126	10	$9590872
NM	48	$30900793	34	$24184580	6	$177437	7	$158930	3	$4263910	3	$4263910	0	$ 0	5	$1158435	4	$2514418
NV	29	$5330978	19	$2381707	4	$14213	3	$31740	3	$1673899	3	$1674189	0	$ 0	1	$935546	3	$2386411
NY	215	$98542402	117	$13868783	16	$404922	7	$3750120	22	$35075365	4	$2385138	0	$ 0	23	$5903527	37	$26097179
OH	390	$196523841	259	$141951190	40	$48571529	31	$92805531	16	$12165761	11	$10299892	0	$ 0	13	$14132944	15	$7709165
OK	20	$6325768	10	$1146025	5	$939315	1	$634397	3	$4546109	2	$4553608	1	$1040811	4	$531940	4	$1693139
OR	45	$15922140	34	$5912228	4	$289164	2	$175670	4	$8745559	4	$8745559	0	$ 0	2	$73124	6	$7806570
PA	184	$37068774	115	$11850629	10	$236134	1	$6894	15	$18507995	5	$15475291	0	$ 0	7	$589304	18	$14068988
RI	17	$5151904	9	$136926	1	$10784	0	$ 0	3	$4782477	1	$382373	0	$ 0	1	$80960	4	$3466440
SC	25	$3621367	14	$159611	3	$46718	1	$-20	5	$3265817	5	$3265817	1	$-4070	2	$145835	6	$1712199
SD	4	$7593802	2	$2444879	1	$2444879	0	$ 0	2	$5148923	2	$5148923	0	$ 0	0	$ 0	1	$1945671
TN	39	$8089506	24	$4900819	2	$148169	5	$529071	7	$3144211	5	$1558436	1	$170000	3	$2308	5	$1420312
TX	356	$1113021172	195	$108241537	46	$75424609	56	$57806870	36	$56570261	29	$34029188	2	$159701	20	$89687809	43	$30257387
UT	37	$267997016	18	$648829	2	$54227	1	$4525	6	$4567752	5	$3609233	0	$ 0	1	$352119	5	$2549064
VA	533	$615433879	326	$251074688	74	$74740934	74	$110818009	17	$14678066	11	$9009579	2	$5347595	32	$37559454	30	$14817038
VT	11	$2794109	7	$891071	0	$ 0	0	$ 0	2	$1887438	1	$1842451	0	$ 0	1	$1842451	2	$269638
WA	96	$74041836	64	$11582652	6	$573447	9	$692448	4	$15929557	3	$15779526	0	$ 0	8	$2380007	11	$15508639
WI	39	$25223607	22	$7732917	4	$999743	1	$11480	5	$12907730	1	$10830422	0	$ 0	2	$50828	5	$9851403
WV	21	$38603962	12	$4702869	1	$556541	4	$323720	4	$6976884	1	$302911	0	$ 0	4	$7269758	3	$2249953
WY	3	$2244441	1	$125000	0	$ 0	0	$ 0	1	$2132421	1	$2132421	0	$ 0	0	$ 0	1	$460334
