State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	18	$23045037	10	$8031027	1	$120	9	$7875730	7	$15024010	5	$14928633	0	$ 0	2	$77877	5	$2456710
AL	261	$818137772	149	$183044565	34	$44934304	36	$101193336	29	$23373190	17	$19658007	6	$104006	17	$24428250	26	$3819451
AR	8	$2143708	4	$849953	0	$ 0	0	$ 0	3	$1293755	2	$1288755	0	$ 0	0	$ 0	2	$108755
AZ	93	$132229433	51	$10609907	6	$1932759	10	$3129344	9	$73861462	7	$73752423	0	$ 0	5	$1264053	11	$21702349
CA	1209	$3537388183	749	$237154896	131	$33491563	148	$117543909	99	$161334793	53	$80442087	1	$801968	91	$91729358	108	$67257889
CO	145	$1742279690	90	$28122494	14	$88394929	11	$1068770	11	$76745197	5	$75179204	0	$ 0	13	$17624325	24	$41554103
CT	74	$40078195	39	$6539108	2	$94140	2	$1946072	6	$2446919	1	$583071	0	$ 0	5	$-119216	5	$2112303
DE	24	$8431750	11	$1290236	1	$449996	0	$ 0	2	$4582158	2	$4582158	1	$900364	2	$273223	3	$2018002
FL	438	$907111609	255	$155086504	54	$12614121	44	$84971175	26	$13274521	11	$8397601	2	$531820	36	$27756437	26	$11468323
GA	77	$16262743	32	$1958639	6	$460778	3	$29913	12	$11847553	5	$2812141	5	$604176	9	$3440914	15	$6814787
HI	10	$19381841	3	$1951298	1	$136847	2	$1919699	2	$13802986	2	$13802986	0	$ 0	4	$3577000	6	$6413554
IA	23	$6343970	7	$532889	1	$231533	0	$ 0	8	$3399089	8	$3399089	0	$ 0	4	$364260	9	$2804909
ID	10	$2617311	6	$210512	0	$ 0	0	$ 0	3	$2399264	3	$2399264	0	$ 0	0	$ 0	3	$715879
IL	129	$20207393	65	$6132383	7	$602009	7	$596076	11	$5808594	4	$3760275	0	$ 0	14	$4144784	18	$6455837
IN	43	$130481278	18	$1247525	1	$12831	2	$62928	7	$6820056	3	$2386492	0	$ 0	5	$1415765	7	$3960988
KS	22	$4641391	11	$410077	0	$ 0	1	$15000	4	$2101866	2	$1929981	0	$ 0	5	$1185674	8	$1131973
