State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	9	$17889593	5	$241861	0	$ 0	1	$48000	3	$17601586	3	$17601586	0	$ 0	1	$19486	5	$5220072
AL	125	$1619706693	86	$302418256	22	$96388493	26	$187565172	11	$27298557	8	$27121109	3	$177448	6	$17271578	8	$7108772
AR	5	$3503627	4	$1002584	0	$ 0	0	$ 0	1	$2501043	1	$2501043	0	$ 0	0	$ 0	1	$599643
AZ	67	$256837920	47	$18576895	10	$1333001	8	$2452848	4	$91381977	4	$91381977	0	$ 0	3	$11171355	8	$36742671
CA	621	$4705364903	434	$384478720	82	$82108833	91	$167398572	33	$3965411604	19	$85213617	0	$ 0	31	$151472702	62	$116042444
CO	139	$1411414068	102	$45729002	11	$8392596	6	$3305354	7	$93223374	6	$92857055	0	$ 0	7	$24007694	20	$62556360
CT	52	$32888393	29	$9171032	1	$121614	4	$1426662	5	$5274121	2	$1145673	0	$ 0	0	$ 0	4	$3977055
DE	15	$8084968	8	$714268	0	$ 0	0	$ 0	1	$3808822	1	$3808822	0	$ 0	2	$2174448	3	$1984208
FL	279	$1228964689	177	$175454876	44	$12872141	48	$106373216	14	$26583554	10	$20948626	1	$ 0	9	$25727758	19	$24536445
GA	51	$24709696	24	$3159825	5	$625098	8	$1678349	4	$16991936	2	$14959867	1	$10452	8	$1277680	5	$13697566
HI	11	$24597604	5	$312604	1	$ 0	1	$249903	2	$19625047	2	$19625047	0	$ 0	2	$4436072	6	$17312624
IA	12	$7943558	5	$451570	0	$ 0	0	$ 0	3	$6298617	3	$6298617	0	$ 0	1	$73531	3	$4976727
ID	9	$4259985	5	$433751	1	$124995	0	$ 0	4	$3826234	3	$3826234	0	$ 0	0	$ 0	3	$2772142
IL	84	$32671586	55	$8526606	10	$1110144	7	$2049116	8	$21355029	3	$12658285	0	$ 0	2	$631331	11	$16331670
IN	35	$114069609	20	$9367999	0	$ 0	3	$265783	4	$9472274	1	$609385	0	$ 0	1	$15606	5	$6851726
KS	17	$13579176	11	$9973331	3	$8712003	3	$8798274	2	$1747874	2	$1747874	0	$ 0	1	$1614150	4	$2092990
KY	13	$7116361	5	$3216167	1	$733378	2	$719793	4	$3506976	4	$3506976	0	$ 0	2	$2949495	5	$1299164
LA	24	$31864437	15	$27979983	7	$19647700	0	$ 0	7	$2811207	6	$2583706	0	$ 0	0	$ 0	6	$1437416
MA	148	$171859130	78	$16077560	6	$1738474	7	$371004	14	$38919540	1	$4344779	0	$ 0	14	$89089848	30	$47930242
MD	301	$1692864866	201	$643862214	59	$167287411	78	$461426976	16	$122819426	9	$89395326	3	$1002379	20	$242013638	29	$57671218
