State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	8	$13951435	3	$1860076	1	$132300	1	$1720071	4	$12091359	3	$11496555	1	$1484130	0	$ 0	5	$3150765
AL	338	$562606633	241	$130138932	53	$22106551	52	$83795611	37	$42111688	15	$32875987	12	$7610553	18	$23735845	34	$20170735
AR	13	$2318470	5	$282345	0	$ 0	1	$69995	7	$2008674	6	$582674	0	$ 0	0	$ 0	3	$1503901
AZ	124	$92184494	75	$22303079	13	$826760	7	$345749	18	$50610573	10	$48880755	0	$ 0	10	$8063963	18	$21596536
CA	1569	$3413253652	978	$289143050	121	$47741040	138	$142610012	196	$313407818	65	$72267361	4	$213353	171	$178372779	133	$128608458
CO	202	$331969021	128	$15190852	16	$1195323	11	$586458	21	$82112432	7	$57545682	0	$ 0	22	$23591379	24	$40748824
CT	104	$163145409	60	$5147640	3	$13642	5	$1014419	7	$5437986	2	$2879749	0	$ 0	9	$9851423	7	$4998095
DE	38	$7585669	19	$1372588	3	$362606	2	$334994	2	$2859682	2	$2859682	0	$ 0	3	$3794136	6	$3932108
FL	596	$1107302239	391	$254835510	78	$27434093	49	$54359318	65	$34637328	10	$17138925	3	$410300	49	$16439566	41	$27557751
GA	141	$34846394	70	$3306730	9	$419822	15	$424768	24	$20543025	5	$729457	4	$3732222	15	$18116858	25	$12913200
HI	12	$39821630	6	$1285618	0	$ 0	1	$929962	3	$33115864	2	$32845370	0	$ 0	3	$6475604	7	$18816646
IA	27	$12670905	14	$674959	2	$66889	3	$109611	8	$11163515	6	$10430570	0	$ 0	7	$7422695	10	$10200898
ID	20	$10452626	8	$789145	2	$332950	0	$ 0	5	$8283355	4	$8202455	0	$ 0	1	$80900	7	$7891853
