State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	7	$24856658	4	$601413	0	$ 0	2	$419391	2	$24255245	2	$24255245	0	$ 0	1	$ 0	5	$5821800
AL	160	$1840527920	106	$271206876	27	$92096459	33	$158465306	15	$41717074	11	$41457259	7	$1003267	4	$5557903	8	$7131920
AR	6	$2299852	4	$50390	2	$50390	0	$ 0	1	$2203008	1	$2203008	0	$ 0	0	$ 0	2	$1342941
AZ	67	$175291855	46	$24063030	8	$3281847	6	$1292646	5	$94584003	4	$94584003	0	$ 0	6	$11676440	15	$44623256
CA	664	$5365353755	445	$341331140	67	$82316413	95	$140062103	43	$3098718521	24	$120453551	0	$ 0	39	$144693370	91	$92992092
CO	157	$903983983	113	$41333182	8	$3977546	13	$3961896	8	$97769392	6	$97497630	0	$ 0	8	$23429981	25	$62320040
CT	47	$26308233	26	$7213222	6	$1520591	4	$3241842	4	$3929137	1	$1581899	0	$ 0	0	$ 0	3	$2521629
DE	25	$18205183	10	$2613886	1	$665000	2	$665000	2	$6391576	2	$6391576	1	$278005	3	$3054291	5	$2914836
FL	269	$1385267174	170	$169953388	35	$13034466	47	$78848293	21	$59560960	14	$50190977	3	$1523627	12	$31317489	24	$28468090
GA	55	$27563816	28	$5638186	9	$764063	6	$991194	7	$17778902	3	$16622456	2	$327828	7	$1819656	8	$13580870
HI	12	$24926329	5	$258348	1	$149634	1	$ 0	2	$19654252	2	$19654252	0	$ 0	2	$4996231	5	$16284640
IA	16	$21813494	9	$2072724	2	$1283617	3	$519039	3	$19236050	3	$19236050	0	$ 0	1	$230341	4	$3647378
ID	8	$5050507	5	$324097	2	$176406	0	$ 0	3	$4726410	3	$4726410	0	$ 0	0	$ 0	3	$2146075
IL	74	$46482258	37	$10544750	6	$229831	7	$3527797	11	$30571094	4	$13530833	0	$ 0	7	$1580554	16	$19448155
IN	36	$171763401	20	$9788333	1	$13977	1	$11390	3	$12233358	1	$249779	0	$ 0	3	$989301	6	$9118627
KS	18	$29510958	9	$5643022	2	$4171557	6	$5533521	3	$12513827	3	$12513827	0	$ 0	2	$3170065	7	$13759557
KY	18	$9539618	8	$6076177	1	$471771	1	$471771	6	$3278505	6	$3278505	0	$ 0	2	$1197849	6	$1643816
LA	27	$16834827	12	$8598595	3	$626024	3	$6607166	8	$6723331	7	$6135391	3	$153942	3	$189157	7	$5828321
MA	173	$197140712	83	$24118432	10	$4097811	4	$1334704	20	$60082821	3	$6928514	0	$ 0	17	$95508563	38	$66436062
MD	283	$2349735753	200	$818766317	41	$146148346	76	$404864872	12	$165797069	9	$125675135	2	$3679054	18	$263496681	27	$58740640
ME	9	$17398185	1	$442426	1	$442426	0	$ 0	2	$851218	1	$690976	0	$ 0	5	$4254238	6	$1947644
MI	75	$35284701	42	$4042932	6	$282523	6	$586157	8	$24386821	8	$24386821	0	$ 0	3	$995641	12	$17932794
MN	41	$10420494	19	$4382590	2	$1590208	4	$2069566	5	$4231250	2	$4231250	0	$ 0	3	$4466421	4	$2882523
MO	21	$27381901	8	$1306624	2	$292553	1	$101759	5	$13476007	3	$3890611	1	$584318	1	$35786	6	$7858803
MS	65	$237776065	39	$32408880	10	$11044846	16	$22404236	4	$3008142	3	$3008142	0	$ 0	2	$38509	5	$559364
MT	20	$13543185	10	$8626161	0	$ 0	2	$6600916	5	$3986524	4	$4017557	0	$ 0	3	$78712	5	$2649702
NC	63	$19315374	32	$7477754	7	$1346778	2	$97888	17	$9830252	12	$8374935	4	$4466191	2	$355481	18	$4245366
ND	4	$3736880	0	$ 0	0	$ 0	0	$ 0	3	$2826497	1	$2527345	0	$ 0	0	$ 0	1	$846977
NE	10	$2684281	7	$689634	1	$95000	2	$95000	3	$1994647	2	$1875946	0	$ 0	0	$ 0	1	$665946
NH	42	$36465547	25	$11116734	1	$166487	1	$72084	2	$14797009	0	$ 0	0	$ 0	5	$16896830	6	$13882296
NJ	65	$33518355	40	$3881720	5	$979023	10	$-962090	10	$18488374	7	$5033728	0	$ 0	2	$2260253	9	$8215088
NM	39	$17649981	22	$5578833	5	$2641782	2	$450902	5	$8501018	4	$7610752	0	$ 0	4	$569876	9	$4936671
NV	20	$5193697	13	$-757019	3	$-411931	1	$78246	3	$4529354	3	$4529354	0	$ 0	2	$1031626	5	$3164655
NY	166	$129070345	91	$27047675	13	$13982548	12	$5396748	23	$39566901	2	$2045320	0	$ 0	19	$11970798	37	$32573487
OH	230	$214308139	145	$127777627	19	$45326804	22	$60022725	15	$10512291	12	$9252993	0	$ 0	8	$3401408	18	$8655745
OK	18	$32490511	9	$1653810	2	$247521	0	$ 0	5	$30502660	5	$30502660	1	$275000	2	$266231	5	$2874698
OR	33	$17344142	19	$8439356	3	$2152784	1	$1274785	3	$7214943	3	$7214943	0	$ 0	4	$1068430	8	$6293184
PA	112	$115081289	60	$79471332	7	$220059	3	$323419	22	$19866890	9	$15419297	1	$ 0	5	$1785135	23	$14087964
RI	13	$7752145	7	$992415	1	$33790	0	$ 0	4	$6508678	1	$362525	0	$ 0	1	$220880	5	$4062583
SC	20	$7263996	12	$918462	2	$176	1	$ 0	5	$6250336	4	$5752209	0	$ 0	0	$ 0	5	$2568767
SD	7	$3711840	5	$1086188	1	$593629	0	$ 0	2	$2625652	2	$2625652	0	$ 0	0	$ 0	2	$681572
TN	39	$35509796	26	$4198662	3	$60656	3	$132859	8	$3510785	5	$1575114	2	$72203	2	$25336436	6	$2019885
TX	270	$1460173980	155	$454340806	36	$97882156	46	$76079413	37	$65894365	30	$46072289	3	$1584646	10	$85071972	42	$48011858
UT	32	$147702634	17	$5274837	1	$242999	2	$242999	4	$8871040	3	$7664225	0	$ 0	2	$3644703	5	$7307658
VA	384	$1429507784	245	$313502898	63	$58989040	67	$137026190	14	$17335327	12	$14572333	2	$2664839	27	$19449384	31	$21206289
VT	7	$2711549	4	$383702	0	$ 0	0	$ 0	2	$2194067	1	$2145617	0	$ 0	1	$2145617	3	$443147
WA	66	$497536375	36	$32573624	2	$169885	1	$156957	6	$18465611	5	$18285612	0	$ 0	5	$690214	13	$18415710
WI	29	$21022392	15	$728436	3	$2515908	1	$75000	4	$17320140	1	$15479009	0	$ 0	1	$ 0	4	$11267939
WV	13	$46293751	5	$7339245	1	$678457	2	$878391	3	$7793435	1	$370000	0	$ 0	1	$7423435	4	$3926515
WY	5	$2625208	3	$173916	0	$ 0	0	$ 0	1	$2347917	1	$2347917	0	$ 0	1	$103375	1	$288545
