State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	9	$20690195	4	$6760172	0	$ 0	3	$6761469	4	$13930023	3	$13580665	0	$ 0	1	$349358	3	$2553532
AL	252	$1023094037	145	$222294963	34	$46144597	36	$107230981	22	$21793773	11	$20312004	3	$35712	18	$21142116	17	$6426224
AR	10	$3107311	5	$1596986	0	$ 0	0	$ 0	3	$1230825	3	$1230825	0	$ 0	1	$232549	3	$857357
AZ	82	$180049730	49	$8398272	4	$2871771	8	$1474287	5	$129859510	5	$129859510	0	$ 0	3	$1168563	10	$22988992
CA	1133	$3524538322	729	$233442021	128	$42163470	138	$117294692	88	$150038851	41	$97172798	1	$897577	81	$114269516	91	$76868193
CO	149	$1948501225	92	$24181837	10	$100089954	5	$212029	12	$81803371	5	$79217221	0	$ 0	11	$15896353	23	$44344488
CT	78	$29729857	41	$5713002	4	$28181	4	$1183869	6	$4798026	1	$754343	0	$ 0	4	$6331	5	$3442202
DE	21	$4294654	8	$608471	2	$55733	0	$ 0	3	$2553064	2	$2428329	1	$990198	3	$289496	4	$1858702
FL	485	$639895326	303	$164259124	63	$8156459	52	$62101409	25	$14443344	9	$10408716	3	$87652	31	$25947314	22	$13032279
GA	98	$21438074	52	$4236931	8	$1561665	5	$90486	10	$12298429	5	$5634735	4	$558893	13	$2441078	14	$7013547
HI	12	$25165884	3	$2355429	0	$ 0	0	$ 0	2	$17618896	2	$17618896	0	$ 0	4	$5162280	8	$9880154
IA	21	$7909591	6	$946483	1	$874385	0	$ 0	8	$5911748	8	$5911748	0	$ 0	3	$-8582	8	$4303768
ID	11	$3498102	6	$1248657	0	$ 0	0	$ 0	3	$2241445	3	$2241445	0	$ 0	0	$ 0	3	$1296608
IL	134	$18088914	75	$5305101	9	$1061135	3	$1399950	11	$5894477	4	$4495901	0	$ 0	11	$2793054	15	$6314301
IN	59	$104624323	29	$3628000	2	$61491	2	$138491	5	$9499467	3	$2840804	0	$ 0	7	$686012	8	$5887022
KS	26	$5797321	11	$1218958	0	$ 0	0	$ 0	6	$1546789	5	$1546789	0	$ 0	5	$2450660	6	$2774005
KY	20	$1427868	9	$297318	3	$54190	2	$173233	8	$1066430	5	$1114572	0	$ 0	6	$960077	7	$696467
LA	27	$113845433	6	$196700	2	$1275199	4	$66305	9	$2601799	8	$2525984	3	$283839	3	$221319	5	$897867
MA	282	$179334329	153	$22602185	14	$1544223	6	$684977	26	$37425952	1	$3822489	0	$ 0	36	$97839258	47	$49250904
MD	617	$1828489241	379	$687217484	104	$69149981	131	$450126845	62	$187248138	33	$58853525	2	$1825262	48	$227668299	68	$62444526
ME	17	$3105122	6	$288507	0	$ 0	0	$ 0	5	$1305947	3	$953977	0	$ 0	6	$1514095	6	$1733689
MI	116	$27960195	66	$4034164	2	$153277	4	$115347	13	$20200300	10	$20005055	0	$ 0	8	$1659023	12	$13486992
MN	62	$13742739	29	$2667918	3	$322248	2	$343998	4	$5795675	3	$5795675	0	$ 0	5	$5945257	7	$4195177
MO	41	$18823224	18	$742975	0	$ 0	2	$264878	10	$8813549	2	$1351732	0	$ 0	2	$-546	9	$7872128
MS	150	$325484903	77	$39960865	24	$12581160	25	$21742567	10	$5010282	7	$4805940	2	$194805	2	$107850	7	$986626
MT	16	$9133951	9	$1581961	1	$236001	2	$347953	7	$7315989	4	$6989356	0	$ 0	2	$338181	6	$2844733
NC	79	$12312582	50	$2633167	5	$425495	5	$475781	10	$8437620	9	$5918876	3	$2572465	8	$272830	11	$3855073
ND	3	$3244027	0	$ 0	0	$ 0	1	$592000	2	$2652027	1	$2502723	0	$ 0	0	$ 0	2	$2249232
NE	9	$2467146	6	$96056	1	$4803	1	$4803	2	$2146090	2	$2146090	0	$ 0	2	$781090	1	$701611
NH	47	$21473068	29	$6647642	2	$434944	1	$ 0	4	$12149968	1	$26471	0	$ 0	3	$10914429	4	$8268304
NJ	138	$21748475	84	$8647274	10	$2119873	11	$2552630	15	$10080800	6	$2972158	0	$ 0	10	$1574300	18	$6567509
NM	57	$53016487	37	$12915325	9	$2213633	15	$2780444	7	$35615957	5	$35311607	0	$ 0	6	$2334891	7	$3614569
NV	22	$13825651	15	$437705	2	$11111340	2	$55728	3	$1630044	2	$1223826	0	$ 0	2	$1021173	3	$1580182
NY	271	$71754305	158	$12293423	21	$506766	13	$3387417	31	$27937365	2	$242981	0	$ 0	39	$17750637	49	$22668853
OH	406	$278150491	264	$178787615	55	$18288987	42	$140734287	23	$11793699	10	$8467516	0	$ 0	24	$9055782	16	$6900209
OK	23	$11842868	10	$1702710	4	$1618607	0	$ 0	5	$7957752	2	$2516045	0	$ 0	4	$7561373	5	$2684903
OR	58	$12657624	38	$5310248	5	$479253	3	$310802	8	$5900808	8	$5900808	0	$ 0	2	$400000	10	$4650193
PA	193	$38093463	113	$11129177	9	$304392	3	$85919	25	$19610430	13	$15327087	0	$ 0	13	$9623217	25	$9465091
RI	16	$4358493	7	$307648	0	$ 0	0	$ 0	5	$3821991	1	$510080	0	$ 0	5	$56108	4	$2205367
SC	25	$4499232	12	$2280002	3	$75208	0	$ 0	6	$1533229	6	$1533229	1	$ 0	4	$629422	6	$1244094
SD	6	$4982732	1	$24840	0	$ 0	0	$ 0	4	$4583040	3	$4537048	0	$ 0	3	$1038844	2	$2200254
TN	48	$27040981	28	$3436900	5	$122622	4	$41357	8	$7353127	4	$1201276	0	$ 0	6	$13527488	6	$1622917
TX	512	$2309276757	295	$88951984	63	$47014585	64	$39961247	51	$63587499	35	$30539589	3	$245000	44	$137374182	43	$30985453
UT	38	$320981100	21	$1788630	1	$429699	2	$1179699	8	$3766008	7	$3127282	0	$ 0	2	$916075	9	$2123579
VA	554	$591230983	321	$240222917	67	$66333887	63	$140200743	38	$14990326	21	$9763555	3	$3212218	48	$39794370	36	$11693298
VT	12	$1812401	5	$410847	0	$ 0	0	$ 0	5	$1401554	4	$1380988	0	$ 0	4	$1380988	5	$112997
WA	83	$26460621	52	$7492888	1	$-50121	3	$42483	6	$12960339	4	$12850616	0	$ 0	11	$2214967	14	$10972692
WI	39	$18507397	15	$2428055	5	$102851	0	$ 0	5	$13404972	4	$13356972	0	$ 0	6	$867471	5	$11714675
WV	26	$46508621	13	$3943925	3	$257665	3	$954636	8	$10400602	2	$477581	1	$ 0	6	$10654698	2	$371842
WY	7	$2729113	5	$708304	0	$ 0	0	$ 0	1	$2027809	1	$2027809	0	$ 0	2	$-7000	1	$578240
