State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	12	$24111833	6	$11349035	0	$ 0	4	$11625330	5	$12769163	4	$12739163	0	$ 0	0	$ 0	5	$3017461
AL	267	$773048144	160	$144664980	28	$49532862	40	$88338921	33	$27004352	14	$20164731	7	$155142	23	$15095765	22	$7256859
AR	7	$2920029	4	$137487	2	$107695	0	$ 0	3	$2712342	3	$2712342	0	$ 0	0	$ 0	2	$296197
AZ	89	$146657939	54	$63117266	6	$1643902	9	$1810461	10	$68469661	9	$68066898	0	$ 0	4	$2760972	12	$20983725
CA	1191	$3747297123	736	$245230679	112	$34038060	125	$105328637	122	$154301335	61	$82050561	2	$99795	101	$99751933	113	$78492958
CO	151	$1369768558	92	$25209868	8	$2906913	5	$1081156	19	$123041021	6	$112125167	0	$ 0	17	$19697985	24	$43255122
CT	83	$107501382	40	$4165439	3	$12219	8	$1408666	6	$2868083	2	$1320572	0	$ 0	6	$625720	5	$2021151
DE	19	$8673839	5	$551967	1	$99998	1	$99998	2	$4844977	2	$4844977	1	$998994	3	$2394528	3	$2974986
FL	446	$983579057	266	$229796139	55	$21142021	42	$139234044	21	$16477997	9	$9992608	2	$692344	26	$12696920	24	$12477154
GA	89	$22633517	40	$2528686	7	$478143	4	$150167	13	$14159382	5	$913387	4	$284097	10	$10704875	19	$5858138
HI	11	$21255772	3	$22325	0	$ 0	0	$ 0	2	$16984253	2	$16984253	0	$ 0	4	$3511409	6	$10158996
IA	26	$20218358	9	$794502	2	$399946	1	$99946	8	$6257091	7	$6261591	0	$ 0	7	$2306781	10	$5862035
ID	10	$2751469	8	$164380	1	$155088	0	$ 0	2	$2587089	2	$2587089	0	$ 0	0	$ 0	2	$1086974
IL	145	$31827456	74	$9248572	3	$580829	8	$914950	16	$10288333	3	$5393713	0	$ 0	18	$7175702	17	$9294775
IN	38	$114121296	20	$721427	0	$ 0	1	$99792	5	$7046776	2	$1619723	0	$ 0	6	$4014502	6	$4668686
KS	22	$5162101	7	$202208	0	$ 0	1	$13805	7	$2032132	5	$1867544	0	$ 0	5	$2975570	8	$2780250
KY	22	$3419452	7	$613453	0	$ 0	1	$439813	10	$2374641	6	$1335061	0	$ 0	6	$1111592	8	$1539641
LA	24	$324575143	7	$87498	2	$32878	3	$41035	11	$3184394	6	$3304251	5	$1197526	1	$171969	4	$667209
MA	317	$176197650	182	$24504159	11	$1016736	14	$2508671	35	$30208268	2	$2084302	0	$ 0	45	$101133747	56	$48243010
MD	679	$1693190654	421	$502198793	101	$68010243	114	$445131902	41	$309487299	13	$68725400	3	$4212011	51	$188555354	47	$61369964
ME	11	$4266259	2	$87163	0	$ 0	0	$ 0	5	$2041544	3	$1968738	0	$ 0	4	$1362795	7	$2902396
