State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	13	$9052028	6	$-208871	0	$ 0	2	$-261115	2	$9011962	2	$9011962	0	$ 0	1	$61191	4	$2688709
AL	153	$1458227977	105	$244614340	32	$95085365	29	$137976726	9	$22317405	7	$22310405	4	$7000	6	$20674433	5	$4437602
AR	3	$2522034	2	$117745	2	$117745	1	$113315	1	$2404289	1	$2404289	0	$ 0	0	$ 0	1	$1252121
AZ	78	$162911633	50	$16980252	10	$668437	4	$1783008	4	$67026850	4	$67026850	0	$ 0	5	$8959094	10	$38586595
CA	790	$4343781864	558	$274481332	92	$61906400	106	$101343906	42	$132275961	26	$99785906	0	$ 0	45	$140373010	79	$93434587
CO	164	$2018731201	113	$28566641	13	$8689237	6	$681009	7	$79879831	6	$79397803	0	$ 0	9	$20548395	17	$52391219
CT	71	$28689745	41	$3047491	4	$229515	1	$989908	5	$4005049	2	$908922	0	$ 0	1	$ 0	4	$2427451
DE	26	$7842134	16	$1493914	4	$14706	0	$ 0	2	$4961268	2	$4961268	1	$994693	2	$1164750	3	$2968148
FL	336	$878948247	232	$104807671	53	$15630015	47	$47966530	15	$25689437	12	$22029955	0	$ 0	8	$2179027	23	$13718623
GA	80	$19374507	50	$3655902	6	$414711	9	$1466686	3	$11785941	1	$11147366	1	$9000	9	$1717595	7	$10407146
HI	14	$24864516	8	$3383793	1	$750000	2	$68239	3	$17423993	3	$17423993	0	$ 0	2	$4056130	6	$15440008
IA	18	$6977060	8	$237320	1	$ 0	0	$ 0	4	$5154904	4	$5154904	0	$ 0	1	$63629	3	$3272747
ID	12	$4759638	5	$218863	0	$ 0	0	$ 0	5	$4059663	5	$4059663	0	$ 0	0	$ 0	4	$2374557
IL	111	$27408794	64	$8407614	15	$1836307	5	$783744	8	$16360113	2	$9284231	0	$ 0	8	$1133578	11	$13897968
IN	51	$151065238	27	$8399466	1	$28935	3	$103830	5	$7461943	2	$982011	0	$ 0	4	$37597	7	$5272674
KS	26	$2372544	12	$261124	1	$3541	3	$53319	4	$1150659	4	$1150659	0	$ 0	5	$762739	5	$944512
KY	18	$10689248	9	$5991226	1	$462484	2	$4048828	4	$4575289	4	$4575289	0	$ 0	3	$2318910	5	$1472527
LA	15	$2473971	6	$257098	4	$173985	2	$12500	5	$2210153	5	$2210153	1	$874567	1	$7500	4	$575586
MA	222	$180791902	126	$18276150	14	$379679	5	$1493559	12	$53542425	1	$3239350	0	$ 0	22	$76579755	36	$49213219
MD	428	$1843738151	286	$639305928	77	$143024751	91	$533371490	18	$108902936	8	$68784749	3	$1026278	23	$268384812	26	$55300951
ME	6	$5578145	0	$ 0	0	$ 0	0	$ 0	2	$1638968	1	$1299359	0	$ 0	3	$3439088	4	$2609537
MI	79	$35406523	45	$3618961	4	$253657	5	$205565	9	$27396596	8	$27316905	0	$ 0	5	$1205217	13	$18277318
MN	59	$16724718	33	$3259525	4	$71050	4	$935515	6	$7503502	4	$7348253	0	$ 0	4	$9857341	6	$6034033
MO	29	$39626947	16	$721142	2	$171519	1	$6525	6	$8215530	3	$1313123	0	$ 0	2	$167995	5	$4954861
MS	97	$363814428	45	$60306115	20	$26920832	16	$43543935	5	$4169639	5	$4169639	1	$ 0	3	$208982	4	$618864
MT	18	$8494979	10	$2910419	1	$8761	2	$533400	5	$5431407	3	$4898007	0	$ 0	3	$663028	5	$2381988
NC	70	$15033936	43	$3471891	14	$1952822	3	$90000	13	$5829192	9	$3401685	2	$80181	5	$974628	13	$4714294
ND	5	$1942974	2	$7100	0	$ 0	1	$ 0	2	$1065677	1	$1065677	0	$ 0	1	$ 0	1	$325677
NE	9	$1734102	4	$297451	1	$6095	0	$ 0	2	$1391413	2	$1391413	0	$ 0	0	$ 0	2	$133500
NH	46	$27581203	34	$13131794	2	$405305	0	$ 0	2	$11125363	0	$ 0	0	$ 0	3	$12061643	3	$9119389
NJ	86	$21751121	49	$4981882	8	$830465	3	$528378	5	$11495334	3	$2954926	0	$ 0	6	$2575613	9	$8518636
NM	45	$29022229	30	$19593751	4	$937240	6	$1804623	3	$5947763	3	$5947763	0	$ 0	6	$1140679	5	$2680641
NV	24	$7080756	13	$1667994	2	$567752	1	$145870	3	$2212664	3	$2212664	0	$ 0	1	$1675668	3	$3725134
NY	205	$60630723	117	$13574969	23	$923868	10	$3210067	21	$30440924	3	$1138604	0	$ 0	23	$9138679	35	$23473254
OH	349	$199126835	224	$131759868	36	$48851556	28	$87587273	17	$12875938	12	$10508326	1	$148207	16	$12145262	19	$9742161
OK	19	$18984808	10	$1745656	4	$691632	1	$700000	5	$16482330	4	$16482553	1	$999978	2	$607970	2	$1561151
OR	45	$15888059	31	$5381574	2	$1190000	2	$330359	4	$8392012	4	$8392012	0	$ 0	1	$36800	6	$7582037
PA	175	$42275410	112	$8914607	11	$629757	3	$412241	18	$20726848	6	$17363097	0	$ 0	7	$372297	20	$16169303
RI	15	$3994425	8	$230261	1	$ 0	0	$ 0	3	$3213088	1	$441525	0	$ 0	1	$118140	4	$2630379
SC	27	$6799200	16	$2077683	3	$112078	1	$98817	4	$4464228	4	$4464228	0	$ 0	2	$122263	6	$1692454
SD	7	$4760233	4	$1769135	3	$1716958	0	$ 0	2	$2991098	2	$2991098	0	$ 0	1	$ 0	2	$1169998
TN	40	$21641925	29	$15738318	4	$438216	3	$948766	6	$5845431	5	$4071987	1	$100000	2	$-43723	5	$2236227
TX	334	$1127373760	187	$122224195	49	$77369276	42	$45220827	35	$46745916	28	$32308133	2	$164320	16	$93330102	38	$33249003
UT	46	$274185484	24	$1648856	1	$-22820	0	$ 0	5	$4442089	4	$3632431	0	$ 0	1	$1391152	5	$3196745
VA	505	$706579769	323	$226748559	72	$47130107	74	$74821420	19	$14540675	12	$10163149	2	$3978969	35	$42163374	29	$12781232
VT	15	$1330940	12	$530219	1	$124022	0	$ 0	2	$790211	1	$790211	0	$ 0	1	$790211	2	$41244
WA	79	$42127128	54	$14535018	4	$47220	6	$198285	4	$15893516	3	$15049159	0	$ 0	5	$1901798	10	$16881923
WI	42	$17331446	25	$1483652	6	$2503566	0	$ 0	5	$12854874	1	$11381826	0	$ 0	1	$69172	5	$10065606
WV	13	$40197269	7	$5978056	1	$565000	1	$ 0	2	$7180919	1	$292700	0	$ 0	2	$7487793	2	$1527011
WY	3	$2276161	0	$ 0	0	$ 0	0	$ 0	1	$2252816	1	$2252816	0	$ 0	1	$18345	1	$600817
