State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	11	$17719249	5	$4730409	0	$ 0	3	$4575266	5	$12960219	3	$12703031	0	$ 0	3	$285809	5	$4183729
AL	316	$1111198721	193	$239353121	42	$61882680	43	$124400963	20	$23082023	9	$22838666	1	$41113	21	$13459144	10	$9441764
AR	7	$2041424	4	$256639	0	$ 0	0	$ 0	3	$1784785	3	$1784785	0	$ 0	0	$ 0	2	$404811
AZ	76	$91592643	50	$8997480	7	$1584702	6	$2825492	5	$66520519	4	$66520519	0	$ 0	8	$2628500	8	$22619862
CA	1053	$3565550325	718	$261405801	110	$34071307	143	$95028326	67	$124896726	34	$87265271	1	$331971	57	$97367081	85	$73251373
CO	141	$1816001242	91	$19662195	12	$82497222	6	$1105342	11	$75153155	5	$72078901	0	$ 0	10	$17859353	19	$42409556
CT	69	$28853648	40	$11302009	3	$76141	2	$2040848	4	$4026099	1	$672116	0	$ 0	3	$-219698	5	$3050666
DE	20	$8526528	8	$1904494	2	$199999	1	$75033	2	$3531399	2	$3531399	1	$1258775	3	$128158	4	$2307166
FL	458	$546949632	294	$141647225	68	$13591583	58	$59909969	19	$15691768	10	$10830790	1	$518013	22	$21985671	24	$14519888
GA	73	$30847745	39	$13900012	4	$96040	3	$156509	9	$13037607	4	$8123788	4	$128889	6	$1539146	13	$7698269
HI	11	$22709957	3	$250500	0	$ 0	0	$ 0	3	$18741568	3	$18741568	0	$ 0	3	$3707116	7	$10490257
IA	18	$13676280	5	$4196902	1	$ 0	0	$ 0	5	$5817043	5	$5817043	0	$ 0	1	$14244	7	$3101106
ID	12	$1976343	7	$103788	0	$ 0	0	$ 0	3	$1868005	3	$1868005	0	$ 0	0	$ 0	3	$1089343
IL	124	$21995765	63	$5564607	7	$288567	7	$1742843	12	$9707465	5	$6668233	0	$ 0	10	$1962989	14	$8668221
IN	47	$101145539	24	$2929787	2	$4562	4	$66723	5	$7145880	2	$2471283	0	$ 0	8	$334679	8	$4923590
KS	22	$7378606	12	$607311	0	$ 0	0	$ 0	6	$1625671	4	$1628715	0	$ 0	3	$4664394	6	$1612436
KY	15	$3533625	10	$575518	2	$-47	1	$200000	4	$2392671	2	$2394013	0	$ 0	4	$2958167	5	$364003
LA	30	$94736225	10	$258343	4	$67261	2	$63841	9	$2076272	8	$2076272	3	$571285	3	$32500	5	$1294487
MA	249	$165365012	134	$24260562	6	$299958	8	$926143	21	$41414016	1	$3213948	0	$ 0	30	$77439767	43	$47020829
MD	535	$1882083628	343	$560570431	93	$65912005	104	$429929427	41	$93174422	20	$54035029	2	$2230900	38	$196508591	59	$56870051
ME	7	$3659111	1	$448814	0	$ 0	0	$ 0	2	$1043512	1	$691821	0	$ 0	3	$2084598	4	$1678209
MI	116	$42506709	73	$6785840	7	$607974	8	$1216856	12	$33681323	10	$33560590	0	$ 0	8	$1969834	14	$12428801
MN	54	$12443350	25	$2280649	4	$777422	2	$672459	4	$4369488	3	$4369488	0	$ 0	4	$4176065	7	$3471003
