State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	13	$20613486	7	$5925214	0	$ 0	4	$5582759	4	$14663793	4	$14663793	0	$ 0	1	$24479	5	$2610238
AL	333	$788161494	213	$145694158	40	$62359517	49	$89029626	37	$27220819	16	$22649204	12	$-50949	20	$18423173	28	$4753411
AR	10	$2688117	5	$315968	1	$9300	1	$ 0	5	$2372149	4	$2377490	0	$ 0	0	$ 0	3	$627756
AZ	112	$183545230	74	$75631833	14	$1831397	7	$1750187	11	$68885282	9	$68184831	0	$ 0	6	$2679396	14	$20459324
CA	1443	$3891029213	885	$281653339	126	$27407162	137	$145465166	167	$199564584	77	$88126576	3	$-138237	132	$115175349	128	$86457592
CO	159	$858502309	103	$17486691	9	$2060302	8	$552667	19	$85699957	5	$63299703	0	$ 0	17	$19673875	24	$41812782
CT	91	$146094558	50	$3210455	3	$24142	5	$1798244	5	$2988892	1	$1545220	0	$ 0	4	$1119253	5	$2563882
DE	22	$10732660	8	$785618	0	$ 0	0	$ 0	1	$3765532	1	$3765532	0	$ 0	1	$2243112	1	$2128763
FL	495	$1142236801	316	$231633428	66	$22190600	54	$87905037	32	$12877811	11	$6642253	2	$-47969	32	$8535317	32	$7476564
GA	100	$25567538	48	$3465673	8	$965337	7	$794294	12	$17152502	4	$348692	3	$965784	10	$17026785	16	$6279535
HI	14	$19177335	8	$57492	2	$20000	2	$-83334	4	$14793253	2	$14794170	0	$ 0	5	$3563541	7	$9110270
IA	26	$13000651	10	$958792	1	$99527	0	$ 0	9	$5736826	9	$5747398	0	$ 0	5	$2399922	11	$5399384
ID	10	$3250739	7	$568866	1	$55000	0	$ 0	3	$2681873	3	$2681873	0	$ 0	0	$ 0	3	$981292
IL	143	$30608218	74	$13381901	2	$183038	6	$1056612	17	$8947500	5	$5868969	0	$ 0	22	$6019966	21	$7789773
IN	58	$102444777	31	$1427975	2	$99576	1	$99576	10	$6187456	5	$940567	0	$ 0	6	$5077374	10	$3512958
KS	24	$2627235	10	$43498	3	$-228700	0	$ 0	6	$1431825	4	$1353484	0	$ 0	4	$1099896	7	$1157015
KY	20	$5120262	7	$448514	2	$29702	1	$360032	9	$4130577	5	$2620631	0	$ 0	6	$2116242	8	$1475766
LA	36	$378184757	10	$-463891	2	$40308	2	$-524446	14	$2718855	9	$1585590	4	$672921	4	$24365	13	$524764
MA	360	$189592143	214	$21840825	11	$881357	13	$2449387	43	$36304385	3	$2288992	0	$ 0	53	$108096779	53	$47636186
MD	751	$1588946458	473	$584106243	113	$89345755	119	$496618715	44	$209970232	17	$94376563	6	$4958376	63	$224582239	54	$66172981
ME	14	$4626552	5	$323623	0	$ 0	0	$ 0	3	$905892	2	$928884	0	$ 0	4	$1700171	6	$2785398
MI	112	$21811723	65	$3481816	6	$482622	4	$354143	19	$14717579	16	$14719562	0	$ 0	14	$3602813	21	$10340051
MN	76	$17686661	45	$3522006	6	$648682	4	$566662	5	$6798195	3	$6532596	0	$ 0	4	$3070721	4	$3650419
MO	57	$21365094	23	$671571	2	$ 0	4	$2358078	17	$9992764	8	$1448130	0	$ 0	12	$2320375	17	$8233020
MS	140	$359473287	63	$69380505	13	$8212581	16	$19120746	15	$9902901	8	$7496548	2	$94517	10	$2383045	12	$3069704
MT	25	$8576797	13	$2584398	1	$36354	2	$196051	11	$5929971	9	$5276656	0	$ 0	2	$653315	10	$2045778
NC	90	$8940624	55	$1342239	5	$219087	2	$204357	17	$4120292	10	$2536788	5	$86187	9	$2012678	20	$3264456
ND	7	$6368474	1	$37995	0	$ 0	0	$ 0	3	$6291758	2	$6291758	0	$ 0	2	$-1990	5	$3224859
NE	9	$4900936	3	$111730	1	$71808	1	$71808	6	$4789206	6	$4789206	0	$ 0	4	$3639534	5	$905161
NH	72	$25410823	47	$6369657	9	$1524890	3	$146016	6	$15978412	2	$196963	0	$ 0	4	$7453373	5	$14690190
NJ	190	$71959274	129	$9787067	9	$688532	7	$481711	19	$11916402	7	$3282923	0	$ 0	16	$5979483	19	$8783347
NM	75	$111675964	42	$46526924	12	$3017355	9	$42695133	11	$25930607	8	$25541759	0	$ 0	9	$2150745	10	$3439106
NV	28	$4883174	17	$2779488	2	$3323	1	$19959	8	$2041198	6	$1711386	0	$ 0	3	$388336	8	$725922
NY	278	$65705769	170	$14478251	18	$665209	16	$3359132	35	$24137815	2	$-6720	0	$ 0	46	$17173895	50	$22392687
OH	426	$282595801	298	$195786034	43	$15385193	45	$123754943	27	$16608835	16	$11282582	1	$-76340	25	$17744119	19	$7097028
OK	13	$10098831	3	$229668	3	$87500	1	$176854	6	$4848359	2	$1465736	0	$ 0	5	$8446985	3	$448937
OR	57	$10125316	40	$3052436	3	$10830	0	$ 0	6	$5101382	5	$5116382	0	$ 0	2	$152602	7	$4679368
PA	251	$49664403	162	$14934862	19	$1462245	8	$371923	35	$29480638	14	$22397618	0	$ 0	25	$10994467	36	$10897509
RI	24	$5912830	11	$744399	1	$14632	0	$ 0	5	$3478827	1	$308020	0	$ 0	6	$2814748	6	$2746582
SC	28	$4099923	11	$1008252	1	$38318	0	$ 0	7	$1917513	6	$1909513	1	$ 0	4	$992142	7	$2273026
SD	5	$3461331	0	$ 0	0	$ 0	0	$ 0	5	$3461331	2	$2451331	0	$ 0	4	$2473307	2	$1700566
TN	53	$33245959	24	$5029549	4	$128128	3	$104683	17	$6855098	10	$4318357	1	$-1506	13	$18976790	17	$2388525
TX	487	$3656285028	274	$256271226	60	$69249130	54	$128593226	61	$52855672	35	$22282803	7	$1750298	39	$107810293	55	$30547833
UT	49	$606181413	25	$1806736	2	$590560	4	$711111	9	$4316533	8	$3675483	0	$ 0	5	$1544863	11	$3873764
VA	627	$668582316	384	$222319410	66	$57700037	57	$115434115	38	$35165534	17	$15061469	3	$4099228	52	$51886340	37	$12390886
VT	7	$4577628	5	$817231	0	$ 0	0	$ 0	2	$3760397	2	$3760397	0	$ 0	2	$3760397	2	$1744794
WA	99	$32710605	63	$8415284	3	$580052	4	$511016	9	$12965582	7	$12739170	0	$ 0	11	$4266637	13	$11520636
WI	66	$17379544	35	$1947220	2	$30793	2	$56838	11	$13275929	9	$13240929	0	$ 0	3	$923983	10	$8362968
WV	35	$41548181	11	$2198374	5	$1418861	4	$1564342	13	$18115062	5	$7229346	0	$ 0	11	$7429242	10	$4664089
WY	3	$1780478	2	$289870	0	$ 0	0	$ 0	1	$1455608	1	$1455608	0	$ 0	1	$807608	1	$372608
